"native","family","genus","familyId","genusId","physiognomy","synonymGC","commonName","nameDNR","speciesId"
"I","Simaroubaceae","Ailanthus",15,578,"D","","tree of heaven","Ailanthus altissima",1050
"N","Alismataceae","Alisma",17,468,"H,S","Alisma gramineum","narrow-leaved water plantain","Alisma gramineum",1051
"N","Alismataceae","Alisma",17,468,"H","Alisma subcordatum","heart-leaved water plantain","Alisma subcordatum",1052
"N","Alismataceae","Alisma",17,468,"H","Alisma triviale","common water plantain","Alisma triviale",1053
"I","Brassicaceae","Alliaria",18,539,"H","Alliaria petiolata","garlic mustard","Alliaria petiolata",1054
"N","Liliaceae","Allium",16,469,"H","Allium canadense var. canadense","wild garlic","Allium canadense var. canadense",1055
"N","Liliaceae","Allium",16,469,"H","Allium cernuum","nodding wild onion","Allium cernuum",1056
"N","Liliaceae","Allium",16,469,"H","Allium schoenoprasum, Allium schoenoprasum var. sibiricum","wild chives","Allium schoenoprasum",1057
"N","Liliaceae","Allium",16,469,"H","Allium textile","white wild onion","Allium textile",1058
"N","Liliaceae","Allium",16,469,"H","Allium tricoccum s.l.","wild leek","Allium tricoccum",1059
"N","Liliaceae","Allium",16,469,"H","Allium tricoccum var. burdickii","Burdick's leek","Allium tricoccum var. burdickii",1060
"N","Liliaceae","Allium",16,469,"H","Allium tricoccum var. tricoccum","wild leek","Allium tricoccum var. tricoccum",1061
"I","Liliaceae","Allium",16,469,"H","","Chinese chive","Allium tuberosum",1062
"N","Liliaceae","Allium",16,469,"H","Allium stellatum","prairie wild onion","Allium stellatum",1063
"N","Betulaceae","Alnus",19,7,"D","Alnus incana var. americana","speckled alder","Alnus incana subsp. rugosa",1064
"N","Betulaceae","Alnus",19,7,"D","Alnus viridis var. crispa","green alder","Alnus viridis subsp. crispa",1065
"N","Poaceae","Alopecurus",14,672,"G","","short-awn foxtail","Alopecurus aequalis var. aequalis",1066
"I","Poaceae","Alopecurus",14,672,"G","","creeping meadow foxtail","Alopecurus arundinaceus",1067
"N","Poaceae","Alopecurus",14,672,"G","Alopecurus carolinianus","Carolina foxtail","Alopecurus carolinianus",1068
"I","Poaceae","Alopecurus",14,672,"G","Alopecurus pratensis","meadow foxtail","Alopecurus pratensis",1069
"I","Malvaceae","Althaea",2,2005,"H","Althaea officinalis","marshmallow","Althaea officinalis",1070
"I","Brassicaceae","Alyssum",18,674,"H","Alyssum alyssoides","alyssum","Alyssum alyssoides",1071
"I","Brassicaceae","Alyssum",18,674,"H","","desert madwort","Alyssum desertorum",1072
"I","Amaranthaceae","Amaranthus",20,477,"H","Amaranthus blitoides","prostrate pigweed","Amaranthus blitoides",1073
"I","Amaranthaceae","Amaranthus",20,477,"H","Amaranthus hybridus","smooth pigweed","Amaranthus hybridus",1074
"I","Amaranthaceae","Amaranthus",20,477,"H","Amaranthus palmeri","Palmer's amaranth","Amaranthus palmeri",1075
"I","Amaranthaceae","Amaranthus",20,477,"H","Amaranthus powellii","Powell's amaranth","Amaranthus powellii",1076
"I","Amaranthaceae","Amaranthus",20,477,"H","","redroot amaranth","Amaranthus retroflexus var. retroflexus",1077
"N","Amaranthaceae","Amaranthus",20,477,"H","Amaranthus rudis, Amaranthus tuberculatus s.s.","tubercled amaranth","Amaranthus tuberculatus",1078
"N","Amaranthaceae","Amaranthus",20,477,"H","Amaranthus albus","tumbleweed amaranth","Amaranthus albus",1079
"I","Asteraceae","Ambrosia",5,494,"H","Ambrosia acanthicarpa","annual bursage","Ambrosia acanthicarpa",1080
"N","Asteraceae","Ambrosia",5,494,"H","Ambrosia artemisiifolia","common ragweed","Ambrosia artemisiifolia",1081
"N","Asteraceae","Ambrosia",5,494,"H","Ambrosia trifida, Ambrosia trifida var. trifida","great ragweed","Ambrosia trifida",1082
"N","Asteraceae","Ambrosia",5,494,"H","Ambrosia psilostachya","western ragweed","Ambrosia psilostachya",1083
"N","Rosaceae","Amelanchier",13,6,"D","Amelanchier alnifolia","saskatoon juneberry","Amelanchier alnifolia",1084
"N","Rosaceae","Amelanchier",13,6,"D","Amelanchier arborea","downy serviceberry","Amelanchier arborea",1085
"N","Rosaceae","Amelanchier",13,6,"D","Amelanchier sanguinea s.l., Amelanchier sanguinea var. sanguinea","low juneberry","Amelanchier humilis",1086
"N","Rosaceae","Amelanchier",13,6,"D","Amelanchier interior s.s., Amelanchier xwiegandii","inland juneberry","Amelanchier interior",1087
"N","Rosaceae","Amelanchier",13,6,"D","Amelanchier xintermedia","intermediate juneberry","Amelanchier intermedia",1088
"N","Rosaceae","Amelanchier",13,6,"D","Amelanchier laevis","smooth juneberry","Amelanchier laevis",1089
"N","Rosaceae","Amelanchier",13,6,"D","Amelanchier sanguinea s.l., Amelanchier sanguinea var. sanguinea","round-leaved juneberry","Amelanchier sanguinea",1090
"N","Rosaceae","Amelanchier",13,6,"D","Amelanchier spicata","creeping juneberry","Amelanchier spicata",1091
"N","Rosaceae","Amelanchier",13,6,"D","Amelanchier bartramiana","northern juneberry","Amelanchier bartramiana",1092
"N","Orchidaceae","Amerorchis",23,2006,"H","Orchis rotundifolia","small round-leaved orchis","Amerorchis rotundifolia",1093
"N","Lythraceae","Ammannia",61,676,"H","","grand redstem","Ammannia robusta",1094
"N","Poaceae","Ammophila",14,204,"G","Ammophila breviligulata","beachgrass","Ammophila breviligulata subsp. breviligulata",1095
"N","Fabaceae","Amorpha",21,241,"D","Amorpha canescens","leadplant","Amorpha canescens",1096
"N","Fabaceae","Amorpha",21,241,"D","Amorpha fruticosa","false indigo","Amorpha fruticosa",1097
"N","Fabaceae","Amorpha",21,241,"D","Amorpha nana","fragrant false indigo","Amorpha nana",1098
"N","Fabaceae","Amphicarpaea",21,245,"H","Amphicarpaea bracteata","hog peanut","Amphicarpaea bracteata",1099
"N","Primulaceae","Anagallis",66,681,"H","Centunculus minimus","chaffweed","Anagallis minima",1100
"I","Primulaceae","Anagallis",66,681,"H","Anagallis arvensis","pimpernel","Anagallis arvensis",1101
"N","Asteraceae","Anaphalis",5,682,"H","Anaphalis margaritacea","pearly everlasting","Anaphalis margaritacea",1102
"I","Boraginaceae","Anchusa",60,683,"H","Anchusa arvensis","alkanet","Anchusa arvensis",1103
"N","Ericaceae","Andromeda",22,513,"B","","bog rosemary","Andromeda polifolia var. latifolia",1104
"N","Poaceae","Andropogon",14,250,"G","Andropogon gerardii","big bluestem","Andropogon gerardii",1105
"N","Primulaceae","Androsace",66,684,"H","Androsace occidentalis","western androsace","Androsace occidentalis",1106
"N","Primulaceae","Androsace",66,684,"H","Androsace septentrionalis","northern androsace","Androsace septentrionalis",1107
"N","Ranunculaceae","Anemone",7,362,"H","Hepatica acutiloba","sharp-lobed hepatica","Anemone acutiloba",1108
"N","Ranunculaceae","Anemone",7,362,"H","Anemone canadensis","canada anemone","Anemone canadensis",1109
"N","Ranunculaceae","Anemone",7,362,"H","Anemone caroliniana","Carolina thimbleweed","Anemone caroliniana",1110
"N","Ranunculaceae","Anemone",7,362,"H","Anemone cylindrica","long-headed thimbleweed","Anemone cylindrica",1111
"N","Ranunculaceae","Anemone",7,362,"H","Hepatica americana","round-lobed hepatica","Anemone americana",1112
"N","Ranunculaceae","Anemone",7,362,"H","Anemone patens var. multifida","pasqueflower","Anemone patens var. multifida",1113
"N","Ranunculaceae","Anemone",7,362,"H","Anemone quinquefolia var. quinquefolia","wood anemone","Anemone quinquefolia var. quinquefolia",1114
"N","Ranunculaceae","Anemone",7,362,"H","Anemone virginiana s.l.","tall thimbleweed","Anemone virginiana",1115
"N","Ranunculaceae","Anemone",7,362,"H","Anemone virginiana s.l.","tall thimbleweed","Anemone virginiana var. alba",1116
"N","Ranunculaceae","Anemone",7,362,"H","Anemone virginiana s.l.","tall thimbleweed","Anemone virginiana var. cylindroidea",1117
"N","Ranunculaceae","Anemone",7,362,"H","Anemone virginiana s.l.","tall thimbleweed","Anemone virginiana var. virginiana",1118
"U","Ranunculaceae","Anemone",7,362,"H","","cutleaf anemone","Anemone multifida var. multifida",1119
"I","Apiaceae","Anethum",9,685,"H","Anethum graveolens","dill","Anethum graveolens",1120
"N","Apiaceae","Angelica",9,364,"H","Angelica atropurpurea","angelica","Angelica atropurpurea",1121
"N","Asteraceae","Antennaria",5,365,"H","Antennaria neglecta var. canadensis","Howell's pussytoes","Antennaria howellii subsp. canadensis",1122
"N","Asteraceae","Antennaria",5,365,"H","Antennaria neglecta var. neodioica","Howell's pussytoes","Antennaria howellii subsp. neodioica",1123
"N","Asteraceae","Antennaria",5,365,"H","Antennaria neglecta var. petaloidea","Howell's pussytoes","Antennaria howellii subsp. petaloidea",1124
"N","Asteraceae","Antennaria",5,365,"H","Antennaria neglecta s.l.","Howell's pussytoes","Antennaria howellii",1125
"N","Asteraceae","Antennaria",5,365,"H","Antennaria neglecta s.l., Antennaria neglecta var. neglecta","field pussytoes","Antennaria neglecta",1126
"N","Asteraceae","Antennaria",5,365,"H","Antennaria plantaginifolia s.l.","Parlin's pussytoes","Antennaria parlinii",1127
"N","Asteraceae","Antennaria",5,365,"H","Antennaria plantaginifolia var. ambigens","Parlin's pussytoes","Antennaria parlinii subsp. fallax",1128
"N","Asteraceae","Antennaria",5,365,"H","Antennaria plantaginifolia var. parlinii","Parlin's pussytoes","Antennaria parlinii subsp. parlinii",1129
"N","Asteraceae","Antennaria",5,365,"H","Antennaria parvifolia","small-leaved pussytoes","Antennaria parvifolia",1130
"N","Asteraceae","Antennaria",5,365,"H","Antennaria plantaginifolia s.l., Antennaria plantaginifolia var. plantaginifolia","plantain-leaved pussytoes","Antennaria plantaginifolia",1131
"N","Asteraceae","Antennaria",5,365,"H","Antennaria microphylla","tiny-leaved pussytoes","Antennaria microphylla",1132
"I","Asteraceae","Anthemis",5,687,"H","Anthemis cotula","dog fennel","Anthemis cotula",1133
"N","Poaceae","Anthoxanthum",14,251,"G","Hierochloe odorata","sweet grass","Anthoxanthum hirtum",1134
"I","Poaceae","Anthoxanthum",14,251,"G","Anthoxanthum odoratum","sweet vernal grass","Anthoxanthum odoratum",1135
"I","Apiaceae","Anthriscus",9,688,"H","Anthriscus sylvestris","chervil","Anthriscus sylvestris",1136
"N","Fabaceae","Apios",21,297,"H","Apios americana","groundnut","Apios americana",1137
"N","Orchidaceae","Aplectrum",23,573,"H","Aplectrum hyemale","puttyroot","Aplectrum hyemale",1138
"N","Apocynaceae","Apocynum",24,243,"H","Apocynum cannabinum, Apocynum sibiricum","American hemp","Apocynum cannabinum",1139
"N","Apocynaceae","Apocynum",24,243,"H","Apocynum androsaemifolium","spreading dogbane","Apocynum androsaemifolium",1140
"N","Ranunculaceae","Aquilegia",7,423,"H","Aquilegia canadensis","columbine","Aquilegia canadensis",1141
"N","Brassicaceae","Arabidopsis",18,693,"H","","lyre-leaved rock cress","Arabidopsis lyrata subsp. lyrata",1142
"I","Brassicaceae","Arabidopsis",18,693,"H","","mouse ear cress","Arabidopsis thaliana",1143
"N","Brassicaceae","Arabis",18,183,"H","Arabis hirsuta var. pycnocarpa","hairy rock cress","Arabis pycnocarpa var. pycnocarpa",1144
"N","Araliaceae","Aralia",25,252,"H","Aralia nudicaulis","wild sarsaparilla","Aralia nudicaulis",1145
"N","Araliaceae","Aralia",25,252,"H","Aralia racemosa","American spikenard","Aralia racemosa",1146
"N","Araliaceae","Aralia",25,252,"D,H","Aralia hispida","bristly sarsaparilla","Aralia hispida",1147
"N","Viscaceae","Arceuthobium",176,2007,"X","Arceuthobium pusillum","dwarf mistletoe","Arceuthobium pusillum",1148
"I","Asteraceae","Arctium",5,97,"H","Arctium minus","common burdock","Arctium minus",1149
"I","Asteraceae","Arctium",5,97,"H","Arctium tomentosum","woolly burdock","Arctium tomentosum",1150
"I","Asteraceae","Arctium",5,97,"H","Arctium lappa","great burdock","Arctium lappa",1151
"N","Ericaceae","Arctostaphylos",22,244,"B","Arctostaphylos uva-ursi","bearberry","Arctostaphylos uva-ursi",1152
"I","Caryophyllaceae","Arenaria",26,398,"H","","thyme-leaved sandwort","Arenaria serpyllifolia var. serpyllifolia",1153
"N","Orchidaceae","Arethusa",23,694,"H","Arethusa bulbosa","dragon's mouth","Arethusa bulbosa",1154
"N","Araceae","Arisaema",27,399,"H","Arisaema dracontium","green dragon","Arisaema dracontium",1155
"N","Araceae","Arisaema",27,399,"H","Arisaema triphyllum, Arisaema triphyllum var. pusillum, Arisaema triphyllum var. triphyllum","Jack-in-the-pulpit","Arisaema triphyllum",1156
"N","Poaceae","Aristida",14,503,"G","Aristida basiramea","base-branched three-awn","Aristida basiramea",1157
"N","Poaceae","Aristida",14,503,"G","Aristida longespica var. geniculata","slimspike three-awn","Aristida longespica var. geniculata",1158
"N","Poaceae","Aristida",14,503,"G","Aristida oligantha","prairie three-awn","Aristida oligantha",1159
"N","Poaceae","Aristida",14,503,"G","Aristida purpurea var. longiseta","red three-awn","Aristida purpurea var. longiseta",1160
"N","Poaceae","Aristida",14,503,"G","Aristida dichotoma var. curtissii","churchmouse three-awn","Aristida dichotoma var. curtissii",1161
"N","Poaceae","Aristida",14,503,"G","Aristida tuberculosa","seaside three-awn","Aristida tuberculosa",1162
"I","Brassicaceae","Armoracia",18,698,"H","Armoracia rusticana","horseradish","Armoracia rusticana",1163
