"siteId","siteName","note"
101,"echinaceaProjectArea","documented by Team Echinacea"
102,"MnDNRDouglasCounty","county list from MNTaxa"
103,"MnDNRGrantCounty","county list from MNTaxa"
104,"MnDNRPopeCounty","county list from MNTaxa"
105,"MnDNRStevensCounty","county list from MNTaxa"
106,"DouglasCountyEchProj","documented by Team Echinacea"
107,"GrantCountyEchProj","documented by Team Echinacea"
