"native","family","physiognomy","synonymGC","commonName","nameDNR"
"I","Amaranthaceae","H","Amaranthus hybridus","smooth pigweed","Amaranthus hybridus"
"I","Amaranthaceae","H","Amaranthus palmeri","Palmer's amaranth","Amaranthus palmeri"
"I","Amaranthaceae","H","Amaranthus powellii","Powell's amaranth","Amaranthus powellii"
"I","Amaranthaceae","H","","redroot amaranth","Amaranthus retroflexus var. retroflexus"
"N","Amaranthaceae","H","Amaranthus rudis, Amaranthus tuberculatus s.s.","tubercled amaranth","Amaranthus tuberculatus"
"I","Asteraceae","H","Ambrosia acanthicarpa","annual bursage","Ambrosia acanthicarpa"
"N","Asteraceae","H","Ambrosia artemisiifolia","common ragweed","Ambrosia artemisiifolia"
"N","Asteraceae","H","Ambrosia psilostachya","western ragweed","Ambrosia psilostachya"
"N","Asteraceae","H","Ambrosia trifida, Ambrosia trifida var. trifida","great ragweed","Ambrosia trifida"
"N","Rosaceae","D","Amelanchier alnifolia","saskatoon juneberry","Amelanchier alnifolia"
"N","Rosaceae","D","Amelanchier arborea","downy serviceberry","Amelanchier arborea"
"N","Rosaceae","D","Amelanchier bartramiana","northern juneberry","Amelanchier bartramiana"
"N","Rosaceae","D","Amelanchier sanguinea s.l., Amelanchier sanguinea var. sanguinea","low juneberry","Amelanchier humilis"
"N","Rosaceae","D","Amelanchier interior s.s., Amelanchier xwiegandii","inland juneberry","Amelanchier interior"
"N","Rosaceae","D","Amelanchier xintermedia","intermediate juneberry","Amelanchier intermedia"
"N","Rosaceae","D","Amelanchier laevis","smooth juneberry","Amelanchier laevis"
"N","Rosaceae","D","Amelanchier sanguinea s.l., Amelanchier sanguinea var. sanguinea","round-leaved juneberry","Amelanchier sanguinea"
"N","Rosaceae","D","Amelanchier spicata","creeping juneberry","Amelanchier spicata"
"N","unknown","H","Orchis rotundifolia","small round-leaved orchis","Amerorchis rotundifolia"
"N","Lythraceae","H","","grand redstem","Ammannia robusta"
"N","Poaceae","G","Ammophila breviligulata","beachgrass","Ammophila breviligulata subsp. breviligulata"
"N","Fabaceae","D","Amorpha canescens","leadplant","Amorpha canescens"
"N","Fabaceae","D","Amorpha fruticosa","false indigo","Amorpha fruticosa"
"N","Fabaceae","D","Amorpha nana","fragrant false indigo","Amorpha nana"
"N","Fabaceae","H","Amphicarpaea bracteata","hog peanut","Amphicarpaea bracteata"
