"native","family","physiognomy","synonymGC","commonName","nameDNR"
"N","Cornaceae","D","Cornus amomum, Cornus amomum var. schuetzeana","pale dogwood","Cornus obliqua"
"N","Cornaceae","D","Cornus racemosa","gray dogwood","Cornus racemosa"
"N","Cornaceae","D","Cornus rugosa","round-leaved dogwood","Cornus rugosa"
"N","Cornaceae","D","Cornus sericea","red-osier dogwood","Cornus sericea"
"N","Fumariaceae","H","Corydalis aurea var. aurea","golden corydalis","Corydalis aurea var. aurea"
"N","Fumariaceae","H","Corydalis micrantha var. micrantha","slender fumewort","Corydalis micrantha var. micrantha"
"I","Fumariaceae","H","","noble corydalis","Corydalis nobilis"
"N","Fumariaceae","H","Corydalis sempervirens","pale corydalis","Corydalis sempervirens"
"N","Betulaceae","D","Corylus americana","American hazelnut","Corylus americana"
"N","Betulaceae","D","Corylus cornuta","beaked hazelnut","Corylus cornuta subsp. cornuta"
"N","unknown","K","Coryphantha vivipara, Coryphantha vivipara var. vivipara","ball cactus","Coryphantha vivipara"
"I","unknown","H","Anthemis tinctoria","golden marguerite","Cota tinctoria"
"N","unknown","H","Crassula aquatica","water pygmyweed","Crassula aquatica"
"N","Rosaceae","D","Crataegus calpodendron","late hawthorn","Crataegus calpodendron"
"N","Rosaceae","D","Crataegus chrysocarpa s.l.","fireberry hawthorn","Crataegus chrysocarpa"
"N","Rosaceae","D","","Blanchard's hawthorn","Crataegus chrysocarpa var. blanchardii"
"N","Rosaceae","D","Crataegus chrysocarpa s.l.","fireberry hawthorn","Crataegus chrysocarpa var. chrysocarpa"
"N","Rosaceae","D","Crataegus chrysocarpa s.l.","fireberry hawthorn","Crataegus chrysocarpa var. faxonii"
"N","Rosaceae","D","Crataegus coccinea","scarlet hawthorn","Crataegus coccinea"
"N","Rosaceae","D","Crataegus douglasii","black hawthorn","Crataegus douglasii"
"N","Rosaceae","D","","river hawthorn","Crataegus fluviatilis"
"N","Rosaceae","D","","Laurentian hawthorn","Crataegus laurentiana"
"N","Rosaceae","D","Crataegus succulenta s.l.","large-thorned hawthorn","Crataegus macracantha"
"N","Rosaceae","D","Crataegus flabellata","bigfruit hawthorn","Crataegus macrosperma"
"N","Rosaceae","D","Crataegus mollis","downy hawthorn","Crataegus mollis"
"N","Rosaceae","D","Crataegus punctata","dotted hawthorn","Crataegus punctata"
"N","Rosaceae","D","","rough-leaved hawthorn","Crataegus scabrida"
"N","Rosaceae","D","","royal hawthorn","Crataegus schuettei"
"N","Rosaceae","D","","Sheridan's hawthorn","Crataegus sheridana"
"N","Rosaceae","D","Crataegus submollis","Quebec hawthorn","Crataegus submollis"
"N","Rosaceae","D","","fleshy hawthorn","Crataegus succulenta var. succulenta"
"N","Asteraceae","H","Crepis runcinata subsp. runcinata","incised hawk's beard","Crepis runcinata subsp. runcinata"
"I","Asteraceae","H","Crepis tectorum","yellow hawk's beard","Crepis tectorum"
"N","Cistaceae","H","Helianthemum bicknellii","hoary frostweed","Crocanthemum bicknellii"
"N","Cistaceae","H","Helianthemum canadense","Canada frostweed","Crocanthemum canadense"
"N","Fabaceae","H","","rattlebox","Crotalaria sagittalis var. sagittalis"
"I","Euphorbiaceae","H","Croton glandulosus","tooth-leaved croton","Croton glandulosus var. septentrionalis"
"N","Pteridaceae","H","","American rock-brake","Cryptogramma acrostichoides"
"N","Pteridaceae","H","Cryptogramma stelleri","slender rock-brake","Cryptogramma stelleri"
"N","Apiaceae","H","Cryptotaenia canadensis","honewort","Cryptotaenia canadensis"
"N","Cuscutaceae","H","","field dodder","Cuscuta campestris"
"N","Cuscutaceae","H","Cuscuta cephalanthi","buttonbush dodder","Cuscuta cephalanthi"
"N","Cuscutaceae","H","Cuscuta coryli","hazel dodder","Cuscuta coryli"
"N","Cuscutaceae","H","Cuscuta glomerata","rope dodder","Cuscuta glomerata"
"N","Cuscutaceae","H","Cuscuta gronovii","scaldweed","Cuscuta gronovii"
"N","Cuscutaceae","H","","swamp dodder","Cuscuta gronovii var. gronovii"
"N","Cuscutaceae","C,H","","swamp dodder","Cuscuta gronovii var. latiflora"
"N","Cuscutaceae","C,H","","large-seed dodder","Cuscuta indecora var. indecora"
"N","Cuscutaceae","H","Cuscuta obtusiflora var. glandulosa","southern dodder","Cuscuta obtusiflora var. glandulosa"
"N","Cuscutaceae","H","Cuscuta pentagona s.l.","bur clover dodder","Cuscuta pentagona"
"N","Cuscutaceae","H","Cuscuta polygonorum","smartweed dodder","Cuscuta polygonorum"
"N","Cuscutaceae","H","Cuscuta megalocarpa","large-fruit dodder","Cuscuta umbrosa"
"N","Asteraceae","H","Iva xanthifolia","marsh elder","Cyclachaena xanthiifolia"
"N","Chenopodiaceae","H","Cycloloma atriplicifolium","winged pigweed","Cycloloma atriplicifolium"
"N","unknown","H","Cymopterus acaulis var. acaulis","plains spring parsley","Cymopterus glomeratus var. glomeratus"
"I","Boraginaceae","H","Cynoglossum officinale","hound's tongue","Cynoglossum officinale"
"N","Boraginaceae","H","Cynoglossum virginianum var. boreale","wild comfrey","Cynoglossum virginianum var. boreale"
"N","Cyperaceae","G","Cyperus acuminatus","short-pointed umbrella sedge","Cyperus acuminatus"
"N","Cyperaceae","G","Cyperus bipartitus","brook nut sedge","Cyperus bipartitus"
"N","Cyperaceae","G","Cyperus diandrus","sedge galingale","Cyperus diandrus"
"N","Cyperaceae","G","Cyperus odoratus s.l.","Engelmann's flatsedge","Cyperus engelmannii"
"N","Cyperaceae","G","Cyperus erythrorhizos","red-rooted cyperus","Cyperus erythrorhizos"
"I","Cyperaceae","G","Cyperus esculentus","yellow nutsedge","Cyperus esculentus var. leptostachyus"
"I","Cyperaceae","G","Cyperus fuscus","brown flatsedge","Cyperus fuscus"
"N","Cyperaceae","G","Cyperus houghtonii","Houghton's cyperus","Cyperus houghtonii"
"N","Cyperaceae","G","Cyperus lupulinus","slender nut sedge","Cyperus lupulinus"
"N","Cyperaceae","G","Cyperus lupulinus","slender nut sedge","Cyperus lupulinus subsp. lupulinus"
"N","Cyperaceae","G","Cyperus lupulinus","slender nut sedge","Cyperus lupulinus subsp. macilentus"
"N","Cyperaceae","G","Cyperus odoratus s.l.","fragrant cyperus","Cyperus odoratus"
"N","Cyperaceae","G","Cyperus schweinitzii","Schweinitz's nut sedge","Cyperus schweinitzii"
"N","Cyperaceae","G","Cyperus aristatus, Cyperus squarrosus s.s.","awned umbrella sedge","Cyperus squarrosus"
"N","Cyperaceae","G","Cyperus strigosus","straw-colored umbrella sedge","Cyperus strigosus"
"N","Cyperaceae","G","Hemicarpha micrantha","hemicarpha","Cyperus subsquarrosus"
"N","Cyperaceae","G","Cyperus xmesochorus","Midland sand sedge","Cyperus xmesochorus"
"N","Orchidaceae","H","Cypripedium acaule","stemless lady's slipper","Cypripedium acaule"
"N","Orchidaceae","H","Cypripedium arietinum","ram's head orchid","Cypripedium arietinum"
"N","Orchidaceae","H","Cypripedium candidum","small white lady's slipper","Cypripedium candidum"
"N","Orchidaceae","H","Cypripedium calceolus","yellow lady's slipper","Cypripedium parviflorum"
"N","Orchidaceae","H","Cypripedium calceolus var. parviflorum","lesser yellow lady's-slipper","Cypripedium parviflorum var. makasin"
"N","Orchidaceae","H","Cypripedium calceolus var. pubescens","large yellow lady's-slipper","Cypripedium parviflorum var. pubescens"
"N","Orchidaceae","H","Cypripedium reginae","showy lady's slipper","Cypripedium reginae"
"N","Orchidaceae","H","Cypripedium xandrewsii","Andrew's lady's slipper","Cypripedium xandrewsii"
"N","Dryopteridaceae","H","Cystopteris bulbifera","bulblet bladder fern","Cystopteris bulbifera"
"N","Dryopteridaceae","H","Cystopteris fragilis s.l., Cystopteris fragilis var. mackayi s.l.","fragile bladder fern","Cystopteris fragilis"
"N","Dryopteridaceae","H","Cystopteris laurentiana","Laurentian bladder fern","Cystopteris laurentiana"
"N","Dryopteridaceae","H","Cystopteris protrusa","lowland bladder fern","Cystopteris protrusa"
"N","Dryopteridaceae","H","Cystopteris tennesseensis","Tennessee bladder fern","Cystopteris tennesseensis"
"N","Dryopteridaceae","H","Cystopteris fragilis s.l., Cystopteris fragilis var. mackayi s.l.","Macay's brittle fern","Cystopteris tenuis"
"I","Poaceae","G","Dactylis glomerata","orchard grass","Dactylis glomerata"
"N","Fabaceae","H","Dalea candida","white prairie clover","Dalea candida"
"N","Fabaceae","H","Dalea candida var. candida","white prairie clover","Dalea candida var. candida"
"N","Fabaceae","H","Dalea candida var. oligophylla","western white prairie clover","Dalea candida var. oligophylla"
"N","Fabaceae","H","Dalea leporina","foxtail dalea","Dalea leporina"
"N","Fabaceae","H","Dalea purpurea var. purpurea","purple prairie clover","Dalea purpurea var. purpurea"
"N","Fabaceae","H","Dalea villosa var. villosa","silky prairie clover","Dalea villosa var. villosa"
"N","Poaceae","G","Danthonia spicata","poverty oatgrass","Danthonia spicata"
"N","Rosaceae","D","Potentilla fruticosa","shrubby cinquefoil","Dasiphora fruticosa"
"I","Solanaceae","H","Datura stramonium","devil's apple","Datura stramonium"
"I","Solanaceae","H","Datura wrightii","angel's trumpet","Datura wrightii"
"I","Apiaceae","H","Daucus carota","Queen Anne's lace","Daucus carota"
"N","Lythraceae","D","Decodon verticillatus, Decodon verticillatus var. laevigatus","water-willow","Decodon verticillatus"
"N","Ranunculaceae","H","Delphinium virescens","prairie larkspur","Delphinium carolinianum subsp. virescens"
"N","Lycopodiaceae","H","Lycopodium obscurum s.s.","Prickly Tree Clubmoss","Dendrolycopodium dendroideum"
"N","Lycopodiaceae","H","Lycopodium obscurum s.s.","Hickey’s Tree Clubmoss","Dendrolycopodium hickeyi"
"N","Lycopodiaceae","H","","Flat-Branched Tree Clubmoss","Dendrolycopodium obscurum"
"N","Dryopteridaceae","H","Athyrium thelypterioides","silvery spleenwort","Deparia acrostichoides"
"N","Poaceae","G","Deschampsia cespitosa","tufted hair grass","Deschampsia cespitosa subsp. cespitosa"
"N","Poaceae","G","Deschampsia flexuosa","wavy hairgrass","Deschampsia flexuosa"
"N","Brassicaceae","H","Descurainia richardsonii","Richardson's tansy mustard","Descurainia incana"
"N","Brassicaceae","H","Descurainia pinnata var. brachycarpa","pinnate tansy mustard","Descurainia pinnata subsp. brachycarpa"
"I","Brassicaceae","H","Descurainia sophia","herb sophia","Descurainia sophia"
"N","Fabaceae","H","Desmanthus illinoensis","prairie mimosa","Desmanthus illinoensis"
"N","Fabaceae","H","Desmodium canadense","Canada tick trefoil","Desmodium canadense"
"N","Fabaceae","H","Desmodium cuspidatum, Desmodium cuspidatum var. longifolium","big tick trefoil","Desmodium cuspidatum"
"N","Fabaceae","H","Desmodium illinoense","Illinois tick trefoil","Desmodium illinoense"
"I","Caryophyllaceae","H","Dianthus armeria","Deptford pink","Dianthus armeria subsp. armeria"
"I","Caryophyllaceae","H","Dianthus barbatus","","Dianthus barbatus subsp. barbatus"
"I","Caryophyllaceae","H","Dianthus deltoides","","Dianthus deltoides subsp. deltoides"
"N","Poaceae","G","Diarrhena americana var. obovata","obovate beakgrain","Diarrhena obovata"
"N","Fumariaceae","H","Dicentra canadensis","squirrel corn","Dicentra canadensis"
"N","Fumariaceae","H","Dicentra cucullaria","dutchman's breeches","Dicentra cucullaria"
"N","Poaceae","G","Panicum lanuginosum","hairy panic grass","Dichanthelium acuminatum"
"N","Poaceae","G","Panicum lanuginosum var. fasciculatum, Panicum lanuginosum var. tennesseense","hairy panic grass","Dichanthelium acuminatum subsp. fasciculatum"
"N","Poaceae","G","Panicum columbianum, Panicum lanuginosum var. implicatum, Panicum leucothrix","hairy panic grass","Dichanthelium acuminatum subsp. implicatum"
"N","Poaceae","G","Panicum lanuginosum var. lindheimeri","hairy panic grass","Dichanthelium acuminatum subsp. lindheimeri"
"N","Poaceae","G","Panicum boreale","northern panic grass","Dichanthelium boreale"
"N","Poaceae","G","Panicum depauperatum","poor panic grass","Dichanthelium depauperatum"
"N","Poaceae","G","Panicum latifolium","broad-leaved panic grass","Dichanthelium latifolium"
"N","Poaceae","G","Panicum leibergii","Leiberg's panic grass","Dichanthelium leibergii"
"N","Poaceae","G","Panicum linearifolium","linear-leaved panic grass","Dichanthelium linearifolium"
"N","Poaceae","G","Panicum oligosanthes","few-flowered panic grass","Dichanthelium oligosanthes"
"N","Poaceae","G","Panicum oligosanthes","Scribner's panic grass","Dichanthelium oligosanthes subsp. oligosanthes"
"N","Poaceae","G","Panicum oligosanthes","Scribner's panic grass","Dichanthelium oligosanthes subsp. scribnerianum"
"N","Poaceae","G","Panicum commonsianum var. euchlamydeum, Panicum villosissimum","long-haired panic grass","Dichanthelium ovale"
"N","Poaceae","G","Panicum villosissimum","long-haired panic grass","Dichanthelium ovale subsp. praecocius"
"N","Poaceae","G","Panicum commonsianum var. euchlamydeum, Panicum villosissimum","white-haired panic grass","Dichanthelium ovale subsp. pseudopubescens"
"N","Poaceae","G","Panicum villosissimum","long-haired panic grass","Dichanthelium ovale subsp. villosissimum"
"N","Poaceae","G","","long-stalked panic grass","Dichanthelium perlongum"
"N","Poaceae","G","Panicum wilcoxianum","Wilcox's panic grass","Dichanthelium wilcoxianum"
"N","Poaceae","G","Panicum xanthophysum","yellow panic grass","Dichanthelium xanthophysum"
"N","Lythraceae","H","Didiplis diandra","water purslane","Didiplis diandra"
"N","Caprifoliaceae","D","Diervilla lonicera","bush honeysuckle","Diervilla lonicera"
"I","unknown","H","","yellow foxglove","Digitalis grandiflora"
"I","unknown","H","Digitalis lanata","Grecian foxglove","Digitalis lanata"
"N","Poaceae","G","Leptoloma cognatum","fall witch grass","Digitaria cognata"
"I","Poaceae","G","Digitaria ischaemum","smooth crabgrass","Digitaria ischaemum"
"I","Poaceae","G","Digitaria sanguinalis","hairy crabgrass","Digitaria sanguinalis"
"N","Dioscoreaceae","H","Dioscorea villosa","wild yam","Dioscorea villosa"
"N","Lycopodiaceae","H","Lycopodium complanatum","northern ground-cedar","Diphasiastrum complanatum"
"N","Lycopodiaceae","H","Lycopodium digitatum","fan ground-cedar","Diphasiastrum digitatum"
"N","Lycopodiaceae","H","Lycopodium tristachyum","blue ground-cedar","Diphasiastrum tristachyum"
"N","Lycopodiaceae","H","Lycopodium xhabereri","Haberer's groundcedar","Diphasiastrum xhabereri"
"N","Lycopodiaceae","H","","running-pine","Diphasiastrum xverecundum"
"N","Lycopodiaceae","H","Lycopodium xzeilleri","Zeiller's groundcedar","Diphasiastrum xzeilleri"
"I","Dipsacaceae","H","Dipsacus fullonum","common teasel","Dipsacus fullonum"
"I","Dipsacaceae","H","Dipsacus laciniatus","cutleaf teasel","Dipsacus laciniatus"
"N","Thymelaeaceae","D","Dirca palustris","leatherwood","Dirca palustris"
"N","Poaceae","G","Distichlis spicata var. stricta","salt grass","Distichlis spicata"
"N","Primulaceae","H","Dodecatheon radicatum, Dodecatheon radicatum var. radicatum","jeweled shooting star","Dodecatheon amethystinum"
"N","Primulaceae","H","Dodecatheon meadia var. meadia","prairie shooting star","Dodecatheon meadia"
"N","Asteraceae","H","Aster pubentior, Aster umbellatus","flat-topped aster","Doellingeria umbellata"
"N","Asteraceae","H","Aster pubentior","flat-topped aster","Doellingeria umbellata var. pubens"
"N","Asteraceae","H","Aster umbellatus","flat-topped aster","Doellingeria umbellata var. umbellata"
"N","Brassicaceae","H","Draba arabisans","Arabian whitlow grass","Draba arabisans"
"N","Brassicaceae","H","Draba cana","hoary whitlow grass","Draba cana"
"N","Brassicaceae","H","Draba nemorosa","yellow whitlow grass","Draba nemorosa"
"N","Brassicaceae","H","Draba norvegica","Norwegian whitlow grass","Draba norvegica"
"N","Brassicaceae","H","Draba reptans var. reptans","Carolina whitlow grass","Draba reptans"
"I","Brassicaceae","H","Draba verna","","Draba verna"
"N","Lamiaceae","H","Dracocephalum parviflorum","dragonhead","Dracocephalum parviflorum"
"N","Droseraceae","H","Drosera anglica","English sundew","Drosera anglica"
"N","Droseraceae","H","Drosera intermedia","spatulate-leaved sundew","Drosera intermedia"
"N","Droseraceae","H","Drosera linearis","linear-leaved sundew","Drosera linearis"
"N","Droseraceae","H","Drosera rotundifolia","round-leaved sundew","Drosera rotundifolia"
"N","Droseraceae","H","Drosera xobovata","obovate-leaved sundew","Drosera xobovata"
"N","Rosaceae","H","Potentilla arguta, Potentilla arguta subsp. arguta","tall cinquefoil","Drymocallis arguta"
"N","Dryopteridaceae","H","Dryopteris carthusiana","spinulose wood fern","Dryopteris carthusiana"
"N","Dryopteridaceae","H","Dryopteris cristata","crested wood fern","Dryopteris cristata"
"N","Dryopteridaceae","H","Dryopteris expansa","spreading wood fern","Dryopteris expansa"
"N","Dryopteridaceae","H","Dryopteris filix-mas","male fern","Dryopteris filix-mas"
"N","Dryopteridaceae","H","Dryopteris fragrans","fragrant wood fern","Dryopteris fragrans"
"N","Dryopteridaceae","H","Dryopteris goldiana","Goldie’s woodfern","Dryopteris goldieana"
"N","Dryopteridaceae","H","Dryopteris intermedia","evergreen wood fern","Dryopteris intermedia"
"N","Dryopteridaceae","H","Dryopteris marginalis","marginal wood fern","Dryopteris marginalis"
"N","Dryopteridaceae","H","Dryopteris xboottii","Boott's shield fern","Dryopteris xboottii"
"N","Dryopteridaceae","H","Dryopteris xtriploidea","triploid shield fern","Dryopteris xtriploidea"
"N","Dryopteridaceae","H","Dryopteris xuliginosa","swamp shield fern","Dryopteris xuliginosa"
"I","Rosaceae","H","","Indian-strawberry","Duchesnea indica var. indica"
"N","Cyperaceae","G","Dulichium arundinaceum","three-way sedge","Dulichium arundinaceum var. arundinaceum"
"I","Chenopodiaceae","H","Chenopodium botrys","Jerusalem oak","Dysphania botrys"
"N","Asteraceae","H","Dyssodia papposa","fetid marigold","Dyssodia papposa"
"N","Asteraceae","H","Echinacea pallida var. angustifolia","narrow-leaved purple coneflower","Echinacea angustifolia"
"I","Poaceae","G","Echinochloa crusgalli, Echinochloa crusgalli var. crusgalli","cockspur barnyard grass","Echinochloa crus-galli"
"N","Poaceae","G","Echinochloa muricata","rough barnyard grass","Echinochloa muricata"
"N","Poaceae","G","Echinochloa muricata var. microstachya","rough barnyard grass","Echinochloa muricata var. microstachya"
"N","Poaceae","G","Echinochloa muricata var. muricata","rough barnyard grass","Echinochloa muricata var. muricata"
"N","Poaceae","G","Echinochloa walteri","Walter's barnyard grass","Echinochloa walteri"
"N","Cucurbitaceae","H","Echinocystis lobata","wild cucumber","Echinocystis lobata"
"N","Alismataceae","H","","tall bur-head","Echinodorus berteroi"
"I","Asteraceae","H","Echinops sphaerocephalus","great globethistle","Echinops sphaerocephalus"
"I","Boraginaceae","H","Echium vulgare","blue weed","Echium vulgare"
"N","Asteraceae","H","Eclipta prostrata","yerba de tajo","Eclipta prostrata"
"I","Elaeagnaceae","D","Elaeagnus angustifolia","Russian olive","Elaeagnus angustifolia"
"N","Elaeagnaceae","D","Elaeagnus commutata","silverberry","Elaeagnus commutata"
"I","Elaeagnaceae","D","Elaeagnus umbellata","autumn olive","Elaeagnus umbellata"
"N","Elatinaceae","H,S","","American waterwort","Elatine americana"
"N","Elatinaceae","H,S","","short-seed waterwort","Elatine brachysperma"
"N","Elatinaceae","H,S","Elatine minima","small waterwort","Elatine minima"
"I","Elatinaceae","H,S","Elatine triandra","three-stamened waterwort","Elatine triandra"
"N","Cyperaceae","G","Eleocharis acicularis","least spikerush","Eleocharis acicularis"
"N","Cyperaceae","G","Eleocharis parvula var. anachaeta","dwarf spikerush","Eleocharis coloradoensis"
"N","Cyperaceae","G","Eleocharis compressa","flattened spikerush","Eleocharis compressa"
"N","Cyperaceae","G","Eleocharis compressa","flattened spikerush","Eleocharis compressa var. acutisquamata"
"N","Cyperaceae","G","Eleocharis compressa","flattened spikerush","Eleocharis compressa var. compressa"
"N","Cyperaceae","G","Eleocharis tenuis var. borealis","elliptic spikerush","Eleocharis elliptica"
"N","Cyperaceae","G","Eleocharis ovata s.l.","Engelmann's spikerush","Eleocharis engelmannii"
"N","Cyperaceae","G","Eleocharis palustris s.l.","bald spikerush","Eleocharis erythropoda"
"N","Cyperaceae","G","Eleocharis flavescens var. olivacea","olivaceous spikerush","Eleocharis flavescens var. olivacea"
"N","Cyperaceae","G","Eleocharis intermedia","intermediate spikerush","Eleocharis intermedia"
"N","Cyperaceae","G","Eleocharis palustris s.l.","large-spike spikerush","Eleocharis macrostachya"
"N","Cyperaceae","G","","soft-stem spikerush","Eleocharis mamillata var. mamillata"
"N","Cyperaceae","G","","neat spikerush","Eleocharis nitida"
"N","Cyperaceae","G","Eleocharis ovata s.l.","blunt spikerush","Eleocharis obtusa"
"N","Cyperaceae","G","Eleocharis ovata s.l.","ovoid spikerush","Eleocharis ovata"
"N","Cyperaceae","G","Eleocharis palustris s.l.","marsh spikerush","Eleocharis palustris"
"N","Cyperaceae","G","Eleocharis pauciflora","few-flowered spikerush","Eleocharis quinqueflora"
"N","Cyperaceae","G","Eleocharis robbinsii","Robbins' spikerush","Eleocharis robbinsii"
"N","Cyperaceae","G","Eleocharis rostellata","beaked spikerush","Eleocharis rostellata"
"N","Cyperaceae","G","Eleocharis wolfii","Wolf's spikerush","Eleocharis wolfii"
"N","Hydrophyllaceae","H","Ellisia nyctelea","ellisia","Ellisia nyctelea"
"N","Hydrocharitaceae","H,S","","two leaf waterweed","Elodea bifoliata"
"N","Hydrocharitaceae","H,S","Elodea canadensis","Canadian elodea","Elodea canadensis"
"N","Hydrocharitaceae","H,S","Elodea nuttallii","Nuttall's elodea","Elodea nuttallii"
"N","Poaceae","G","Elymus canadensis","Canada wildrye","Elymus canadensis var. canadensis"
"N","Poaceae","G","Elymus curvatus","awnless wild rye","Elymus curvatus"
"N","Poaceae","G","Elymus diversiglumis","interrupted wild rye","Elymus diversiglumis"
"N","Poaceae","G","Elymus hystrix","bottlebrush grass","Elymus hystrix"
"I","Poaceae","G","Elytrigia repens","quackgrass","Elymus repens"
"N","Poaceae","G","","riverbank wildrye","Elymus riparius"
"N","Poaceae","G","Elymus trachycaulus","slender wheatgrass","Elymus trachycaulus"
"N","Poaceae","G","Elymus trachycaulus","one-sided wheatgrass","Elymus trachycaulus subsp. subsecundus"
"N","Poaceae","G","Elymus trachycaulus","slender wheatgrass","Elymus trachycaulus subsp. trachycaulus"
"N","Poaceae","G","Elymus villosus","downy wild rye","Elymus villosus"
"N","Poaceae","G","Elymus virginicus","Virginia wildrye","Elymus virginicus"
"N","Poaceae","G","Elymus virginicus","Virginia wildrye","Elymus virginicus var. jejunus"
"N","Poaceae","G","Elymus virginicus","Virginia wild rye","Elymus virginicus var. virginicus"
"N","Poaceae","G","Elymus wiegandii","Weigand's wild rye","Elymus wiegandii"
"N","unknown","B","Empetrum rubrum var. atropurpureum","purple crowberry","Empetrum atropurpureum"
"N","unknown","B","Empetrum nigrum var. hermaphroditum","black crowberry","Empetrum nigrum"
"N","Ranunculaceae","H","Isopyrum biternatum","false rue anemone","Enemion biternatum"
"N","Ericaceae","B","Epigaea repens","trailing arbutus","Epigaea repens"
"N","Onagraceae","H","Epilobium ciliatum s.s.","American willow herb","Epilobium ciliatum"
"N","Onagraceae","H","Epilobium ciliatum var. ciliatum","American willow herb","Epilobium ciliatum subsp. ciliatum"
"N","Onagraceae","H","Epilobium glandulosum","northern willow herb","Epilobium ciliatum subsp. glandulosum"
"N","Onagraceae","H","Epilobium coloratum","purple-leaved willow herb","Epilobium coloratum"
"N","Onagraceae","H","Epilobium strictum","downy willow herb","Epilobium densum"
"N","Onagraceae","H","Epilobium leptophyllum","linear-leaved willow herb","Epilobium leptophyllum"
"N","Onagraceae","H","Epilobium palustre","marsh willow herb","Epilobium palustre"
"N","Onagraceae","H","Epilobium xwisconsinense","Wisconsin willow herb","Epilobium xwisconsinense"
"I","Orchidaceae","H","Epipactis helleborine","broad-leaved helleborine","Epipactis helleborine"
"N","Equisetaceae","H","Equisetum arvense","field horsetail","Equisetum arvense"
"N","Equisetaceae","H","Equisetum fluviatile","water horsetail","Equisetum fluviatile"
"N","Equisetaceae","H","Equisetum laevigatum","smooth scouring rush","Equisetum laevigatum"
"N","Equisetaceae","H","Equisetum palustre","marsh horsetail","Equisetum palustre"
"N","Equisetaceae","H","Equisetum hyemale var. affine","common scouring rush","Equisetum praealtum"
"N","Equisetaceae","H","Equisetum pratense","meadow horsetail","Equisetum pratense"
"N","Equisetaceae","H","Equisetum scirpoides","dwarf scouring rush","Equisetum scirpoides"
"N","Equisetaceae","H","Equisetum sylvaticum","woodland horsetail","Equisetum sylvaticum"
"N","Equisetaceae","H","Equisetum variegatum","variegated scouring rush","Equisetum variegatum subsp. variegatum"
"N","Equisetaceae","H","Equisetum xferrissii","Ferriss' scouring rush","Equisetum xferrissii"
"N","Equisetaceae","H","Equisetum xtrachyodon","Mack's horsetail","Equisetum xjesupii"
"N","Equisetaceae","H","Equisetum xlitorale","shallow-water horsetail","Equisetum xlitorale"
"N","Equisetaceae","H","","","Equisetum xmildeanum"
"N","Equisetaceae","H","Equisetum xnelsonii","Nelson's scouring rush","Equisetum xnelsonii"
"I","Poaceae","G","Eragrostis cilianensis","stink grass","Eragrostis cilianensis"
"N","Poaceae","G","Eragrostis frankii","Frank's lovegrass","Eragrostis frankii"
"N","Poaceae","G","Eragrostis hypnoides","creeping lovegrass","Eragrostis hypnoides"
"I","Poaceae","G","Eragrostis minor","little lovegrass","Eragrostis minor"
"N","Poaceae","G","Eragrostis pectinacea","tufted lovegrass","Eragrostis pectinacea var. pectinacea"
"I","Poaceae","G","Eragrostis pilosa","Indian lovegrass","Eragrostis pilosa"
"I","Poaceae","G","Eragrostis pilosa var. perplexa","Indian lovegrass","Eragrostis pilosa var. perplexa"
"I","Poaceae","G","Eragrostis pilosa var. pilosa","Indian lovegrass","Eragrostis pilosa var. pilosa"
"N","Poaceae","G","Eragrostis spectabilis","purple lovegrass","Eragrostis spectabilis"
"N","Poaceae","G","Eragrostis trichodes","sand lovegrass","Eragrostis trichodes"
"N","Asteraceae","H","Erechtites hieraciifolia var. hieraciifolia","pilewort","Erechtites hieraciifolius var. hieraciifolius"
"N","Asteraceae","H","Erigeron acris var. kamtschaticus","bitter fleabane","Erigeron acris var. kamtschaticus"
"N","Asteraceae","H","Erigeron annuus","annual fleabane","Erigeron annuus"
"N","Asteraceae","H","Erigeron glabellus var. pubescens","smooth fleabane","Erigeron glabellus var. pubescens"
"N","Asteraceae","H","","short ray fleabane","Erigeron lonchophyllus"
"N","Asteraceae","H","Erigeron philadelphicus","Philadelphia fleabane","Erigeron philadelphicus var. philadelphicus"
"N","Asteraceae","H","Erigeron pulchellus","poor robin's fleabane","Erigeron pulchellus"
"N","Asteraceae","H","Erigeron pulchellus var. pulchellus","poor robin's fleabane","Erigeron pulchellus var. pulchellus"
"N","Asteraceae","H","Erigeron pulchellus var. tolsteadii","Tolstead's Erigeron","Erigeron pulchellus var. tolsteadii"
"N","Asteraceae","H","Erigeron strigosus","daisy fleabane","Erigeron strigosus"
"N","Asteraceae","H","Erigeron strigosus var. septentrionalis","daisy fleabane","Erigeron strigosus var. septentrionalis"
"N","Asteraceae","H","Erigeron strigosus var. beyrichii, Erigeron strigosus var. strigosus","daisy fleabane","Erigeron strigosus var. strigosus"
"N","unknown","H,S","Eriocaulon aquaticum","pipewort","Eriocaulon aquaticum"
"I","Poaceae","G","Eriochloa villosa","hairy cupgrass","Eriochloa villosa"
"N","Cyperaceae","G","Eriophorum polystachion","tall cottongrass","Eriophorum angustifolium subsp. angustifolium"
"N","Cyperaceae","G","Eriophorum gracile","slender cottongrass","Eriophorum gracile"
"N","Cyperaceae","G","Eriophorum chamissonis","Chamisso's cottongrass","Eriophorum russeolum subsp. leiocarpum"
"N","Cyperaceae","G","Eriophorum tenellum","delicate cottongrass","Eriophorum tenellum"
"N","Cyperaceae","G","Eriophorum vaginatum var. spissum","tussock cottongrass","Eriophorum vaginatum"
