"native","physiognomy","nameDNR","commonName","emergingTaxonomy","synonymGC","genus"
"I","H","Amaranthus palmeri","Palmer's amaranth","","Amaranthus palmeri","Amaranthus"
"I","H","Amaranthus powellii","Powell's amaranth","","Amaranthus powellii","Amaranthus"
"I","H","Amaranthus retroflexus var. retroflexus","redroot amaranth","","","Amaranthus"
"N","H","Amaranthus tuberculatus","tubercled amaranth","","Amaranthus rudis, Amaranthus tuberculatus s.s.","Amaranthus"
"I","H","Ambrosia acanthicarpa","annual bursage","","Ambrosia acanthicarpa","Ambrosia"
"N","H","Ambrosia artemisiifolia","common ragweed","","Ambrosia artemisiifolia","Ambrosia"
"N","H","Ambrosia psilostachya","western ragweed","","Ambrosia psilostachya","Ambrosia"
"N","H","Ambrosia trifida","great ragweed","","Ambrosia trifida, Ambrosia trifida var. trifida","Ambrosia"
"N","D","Amelanchier alnifolia","saskatoon juneberry","","Amelanchier alnifolia","Amelanchier"
"N","D","Amelanchier arborea","downy serviceberry","","Amelanchier arborea","Amelanchier"
"N","D","Amelanchier bartramiana","northern juneberry","","Amelanchier bartramiana","Amelanchier"
"N","D","Amelanchier humilis","low juneberry","","Amelanchier sanguinea s.l., Amelanchier sanguinea var. sanguinea","Amelanchier"
"N","D","Amelanchier interior","inland juneberry","","Amelanchier interior s.s., Amelanchier xwiegandii","Amelanchier"
"N","D","Amelanchier intermedia","intermediate juneberry","","Amelanchier xintermedia","Amelanchier"
"N","D","Amelanchier laevis","smooth juneberry","","Amelanchier laevis","Amelanchier"
"N","D","Amelanchier sanguinea","round-leaved juneberry","","Amelanchier sanguinea s.l., Amelanchier sanguinea var. sanguinea","Amelanchier"
"N","D","Amelanchier spicata","creeping juneberry","","Amelanchier spicata","Amelanchier"
"N","H","Amerorchis rotundifolia","small round-leaved orchis","","Orchis rotundifolia","Amerorchis"
"N","H","Ammannia robusta","grand redstem","","","Ammannia"
"N","G","Ammophila breviligulata subsp. breviligulata","beachgrass","","Ammophila breviligulata","Ammophila"
"N","D","Amorpha canescens","leadplant","","Amorpha canescens","Amorpha"
"N","D","Amorpha fruticosa","false indigo","","Amorpha fruticosa","Amorpha"
"N","D","Amorpha nana","fragrant false indigo","","Amorpha nana","Amorpha"
"N","H","Amphicarpaea bracteata","hog peanut","","Amphicarpaea bracteata","Amphicarpaea"
"I","H","Anagallis arvensis","pimpernel","Lysimachia arvensis","Anagallis arvensis","Anagallis"
"N","H","Anagallis minima","chaffweed","Lysimachia minima","Centunculus minimus","Anagallis"
"N","H","Anaphalis margaritacea","pearly everlasting","","Anaphalis margaritacea","Anaphalis"
"I","H","Anchusa arvensis","alkanet","","Anchusa arvensis","Anchusa"
"N","B","Andromeda polifolia var. latifolia","bog rosemary","","","Andromeda"
"N","G","Andropogon gerardii","big bluestem","","Andropogon gerardii","Andropogon"
"N","H","Androsace occidentalis","western androsace","","Androsace occidentalis","Androsace"
"N","H","Androsace septentrionalis","northern androsace","","Androsace septentrionalis","Androsace"
"N","H","Anemone acutiloba","sharp-lobed hepatica","","Hepatica acutiloba","Anemone"
"N","H","Anemone americana","round-lobed hepatica","","Hepatica americana","Anemone"
"N","H","Anemone canadensis","canada anemone","","Anemone canadensis","Anemone"
"N","H","Anemone caroliniana","Carolina thimbleweed","","Anemone caroliniana","Anemone"
"N","H","Anemone cylindrica","long-headed thimbleweed","","Anemone cylindrica","Anemone"
"U","H","Anemone multifida var. multifida","cutleaf anemone","","","Anemone"
"N","H","Anemone patens var. multifida","pasqueflower","","Anemone patens var. multifida","Anemone"
"N","H","Anemone quinquefolia var. quinquefolia","wood anemone","","Anemone quinquefolia var. quinquefolia","Anemone"
"N","H","Anemone virginiana","tall thimbleweed","","Anemone virginiana s.l.","Anemone"
"N","H","Anemone virginiana var. alba","tall thimbleweed","","Anemone virginiana s.l.","Anemone"
"N","H","Anemone virginiana var. cylindroidea","tall thimbleweed","","Anemone virginiana s.l.","Anemone"
"N","H","Anemone virginiana var. virginiana","tall thimbleweed","","Anemone virginiana s.l.","Anemone"
"I","H","Anethum graveolens","dill","","Anethum graveolens","Anethum"
"N","H","Angelica atropurpurea","angelica","","Angelica atropurpurea","Angelica"
"N","H","Antennaria howellii","Howell's pussytoes","","Antennaria neglecta s.l.","Antennaria"
"N","H","Antennaria howellii subsp. canadensis","Howell's pussytoes","","Antennaria neglecta var. canadensis","Antennaria"
"N","H","Antennaria howellii subsp. neodioica","Howell's pussytoes","","Antennaria neglecta var. neodioica","Antennaria"
"N","H","Antennaria howellii subsp. petaloidea","Howell's pussytoes","","Antennaria neglecta var. petaloidea","Antennaria"
"N","H","Antennaria microphylla","tiny-leaved pussytoes","","Antennaria microphylla","Antennaria"
"N","H","Antennaria neglecta","field pussytoes","","Antennaria neglecta s.l., Antennaria neglecta var. neglecta","Antennaria"
"N","H","Antennaria parlinii","Parlin's pussytoes","","Antennaria plantaginifolia s.l.","Antennaria"
"N","H","Antennaria parlinii subsp. fallax","Parlin's pussytoes","","Antennaria plantaginifolia var. ambigens","Antennaria"
"N","H","Antennaria parlinii subsp. parlinii","Parlin's pussytoes","","Antennaria plantaginifolia var. parlinii","Antennaria"
"N","H","Antennaria parvifolia","small-leaved pussytoes","","Antennaria parvifolia","Antennaria"
"N","H","Antennaria plantaginifolia","plantain-leaved pussytoes","","Antennaria plantaginifolia s.l., Antennaria plantaginifolia var. plantaginifolia","Antennaria"
"I","H","Anthemis cotula","dog fennel","","Anthemis cotula","Anthemis"
"N","G","Anthoxanthum hirtum","sweet grass","","Hierochloe odorata","Anthoxanthum"
"I","G","Anthoxanthum odoratum","sweet vernal grass","","Anthoxanthum odoratum","Anthoxanthum"
"I","H","Anthriscus sylvestris","chervil","","Anthriscus sylvestris","Anthriscus"
"N","H","Apios americana","groundnut","","Apios americana","Apios"
"N","H","Aplectrum hyemale","puttyroot","","Aplectrum hyemale","Aplectrum"
"N","H","Apocynum androsaemifolium","spreading dogbane","","Apocynum androsaemifolium","Apocynum"
"N","H","Apocynum cannabinum","American hemp","","Apocynum cannabinum, Apocynum sibiricum","Apocynum"
"N","H","Aquilegia canadensis","columbine","","Aquilegia canadensis","Aquilegia"
"N","H","Arabidopsis lyrata subsp. lyrata","lyre-leaved rock cress","","","Arabidopsis"
"I","H","Arabidopsis thaliana","mouse ear cress","","","Arabidopsis"
"N","H","Arabis pycnocarpa var. pycnocarpa","hairy rock cress","","Arabis hirsuta var. pycnocarpa","Arabis"
"N","D,H","Aralia hispida","bristly sarsaparilla","","Aralia hispida","Aralia"
"N","H","Aralia nudicaulis","wild sarsaparilla","","Aralia nudicaulis","Aralia"
"N","H","Aralia racemosa","American spikenard","","Aralia racemosa","Aralia"
"N","X","Arceuthobium pusillum","dwarf mistletoe","","Arceuthobium pusillum","Arceuthobium"
"I","H","Arctium lappa","great burdock","","Arctium lappa","Arctium"
"I","H","Arctium minus","common burdock","","Arctium minus","Arctium"
"I","H","Arctium tomentosum","woolly burdock","","Arctium tomentosum","Arctium"
"N","B","Arctostaphylos uva-ursi","bearberry","","Arctostaphylos uva-ursi","Arctostaphylos"
"I","H","Arenaria serpyllifolia var. serpyllifolia","thyme-leaved sandwort","","","Arenaria"
"N","H","Arethusa bulbosa","dragon's mouth","","Arethusa bulbosa","Arethusa"
"N","H","Arisaema dracontium","green dragon","","Arisaema dracontium","Arisaema"
"N","H","Arisaema triphyllum","Jack-in-the-pulpit","","Arisaema triphyllum, Arisaema triphyllum var. pusillum, Arisaema triphyllum var. triphyllum","Arisaema"
"N","G","Aristida basiramea","base-branched three-awn","","Aristida basiramea","Aristida"
"N","G","Aristida dichotoma var. curtissii","churchmouse three-awn","","Aristida dichotoma var. curtissii","Aristida"
"N","G","Aristida longespica var. geniculata","slimspike three-awn","","Aristida longespica var. geniculata","Aristida"
"N","G","Aristida oligantha","prairie three-awn","","Aristida oligantha","Aristida"
"N","G","Aristida purpurea var. longiseta","red three-awn","","Aristida purpurea var. longiseta","Aristida"
"N","G","Aristida tuberculosa","seaside three-awn","","Aristida tuberculosa","Aristida"
"I","H","Armoracia rusticana","horseradish","","Armoracia rusticana","Armoracia"
"N","H","Arnica lonchophylla","long-leaved arnica","","Arnica lonchophylla","Arnica"
"N","H","Arnoglossum plantagineum","tuberous Indian plantain","","Cacalia plantaginea","Arnoglossum"
"N","H","Arnoglossum reniforme","great Indian plantain","","Cacalia muhlenbergii","Arnoglossum"
"N","D","Aronia melanocarpa","black chokeberry","","Aronia melanocarpa","Aronia"
"I","H","Artemisia abrotanum","southernwood","","Artemisia abrotanum","Artemisia"
"I","H","Artemisia absinthium","absinthe wormwood","","Artemisia absinthium","Artemisia"
"I","H","Artemisia biennis","biennial wormwood","","Artemisia biennis","Artemisia"
"N","H","Artemisia campestris subsp. caudata","field sagewort","","Artemisia campestris subsp. caudata","Artemisia"
"N","H","Artemisia dracunculus","tarragon","","Artemisia dracunculus","Artemisia"
"N","H","Artemisia frigida","sage wormwood","","Artemisia frigida","Artemisia"
"N","H","Artemisia ludoviciana subsp. ludoviciana","white sage","","Artemisia ludoviciana var. ludoviciana","Artemisia"
"N","H","Artemisia serrata","saw-tooth wormwood","","Artemisia serrata","Artemisia"
"I","H","Artemisia vulgaris","common wormwood","","Artemisia vulgaris","Artemisia"
"N","H","Asarum canadense","wild ginger","","Asarum canadense","Asarum"
"N","H","Asclepias amplexicaulis","clasping milkweed","","Asclepias amplexicaulis","Asclepias"
"N","H","Asclepias exaltata","poke milkweed","","Asclepias exaltata","Asclepias"
