"native","physiognomy","nameDNR","commonName","emergingTaxonomy","synonymGC","genus"
"N","H","Circaea alpina subsp. alpina","alpine enchanter's nightshade","","Circaea alpina var. alpina","Circaea"
"N","H","Circaea canadensis subsp. canadensis","enchanter's nightshade","","","Circaea"
"N","H","Circaea xsterilis","hybrid enchanter's nightshade","","Circaea xintermedia","Circaea"
"N","H","Cirsium altissimum","tall thistle","","Cirsium altissimum","Cirsium"
"I","H","Cirsium arvense","Canada thistle","","Cirsium arvense, Cirsium arvense var. arvense, Cirsium arvense var. horridum","Cirsium"
"N","H","Cirsium discolor","field thistle","","Cirsium discolor","Cirsium"
"N","H","Cirsium flodmanii","Flodman's thistle","","Cirsium flodmanii","Cirsium"
"N","H","Cirsium muticum","swamp thistle","","Cirsium muticum","Cirsium"
"I","H","Cirsium palustre","marsh thistle","","","Cirsium"
"N","H","Cirsium pumilum var. hillii","Hill's thistle","","Cirsium hillii","Cirsium"
"I","H","Cirsium vulgare","bull thistle","","Cirsium vulgare","Cirsium"
"N","G","Cladium mariscoides","twig rush","","Cladium mariscoides","Cladium"
"N","H","Claytonia caroliniana","Carolina spring beauty","","Claytonia caroliniana","Claytonia"
"N","H","Claytonia virginica","Virginia spring beauty","","Claytonia virginica","Claytonia"
"N","H","Claytosmunda claytoniana","interrupted fern","","Osmunda claytoniana","Claytosmunda"
"N","C","Clematis occidentalis var. occidentalis","purple clematis","","Clematis occidentalis","Clematis"
"N","C","Clematis virginiana","virgin's bower","","Clematis virginiana","Clematis"
"N","H","Clintonia borealis","bluebead lily","","Clintonia borealis","Clintonia"
"N","H","Coeloglossum viride var. virescens","long-bracted orchid","","Habenaria viridis var. bracteata","Coeloglossum"
"N","H","Collomia linearis","linear-leaved collomia","","Collomia linearis","Collomia"
"N","H","Comandra umbellata subsp. umbellata","bastard toadflax","","Comandra umbellata var. umbellata","Comandra"
"N","H","Comarum palustre","marsh cinquefoil","","Potentilla palustris","Comarum"
"I","H","Commelina communis","Asiatic dayflower","","Commelina communis","Commelina"
"N","H","Commelina erecta","slender dayflower","","Commelina erecta","Commelina"
"N","D","Comptonia peregrina","sweet fern","","Comptonia peregrina","Comptonia"
"I","H","Conium maculatum","poison hemlock","","Conium maculatum","Conium"
"I","H","Conringia orientalis","hare's ear mustard","","Conringia orientalis","Conringia"
"I","H","Convallaria majalis var. majalis","lily-of-the-valley","","Convallaria majalis","Convallaria"
"I","H","Convolvulus arvensis","field bindweed","","Convolvulus arvensis","Convolvulus"
"N","H","Conyza canadensis","horseweed","","Conyza canadensis","Conyza"
"N","H","Conyza ramosissima","spreading fleabane","","Conyza ramosissima","Conyza"
"N","H","Coptis trifolia","goldthread","","Coptis trifolia var. groenlandica","Coptis"
"N","H","Corallorhiza maculata","spotted coralroot","","Corallorhiza maculata","Corallorhiza"
"N","H","Corallorhiza maculata var. maculata","spotted coralroot","","Corallorhiza maculata var. maculata","Corallorhiza"
"N","H","Corallorhiza maculata var. occidentalis","western spotted coralroot","","Corallorhiza maculata var. occidentalis","Corallorhiza"
"N","H","Corallorhiza odontorhiza var. odontorhiza","autumn coralroot","","Corallorhiza odontorhiza","Corallorhiza"
"N","H","Corallorhiza striata var. striata","striped coralroot","","Corallorhiza striata","Corallorhiza"
"N","H","Corallorhiza trifida","early coralroot","","Corallorhiza trifida","Corallorhiza"
"I","H","Coreopsis lanceolata","lance-leaved coreopsis","","Coreopsis lanceolata","Coreopsis"
"N","H","Coreopsis palmata","bird's foot coreopsis","","Coreopsis palmata","Coreopsis"
"I","H","Coreopsis tinctoria","plains coreopsis","","Coreopsis tinctoria","Coreopsis"
"N","H","Corispermum americanum var. americanum","American bugseed","","Corispermum americanum","Corispermum"
"N","H","Corispermum pallasii","hyssop-leaved bugseed","","Corispermum hyssopifolium","Corispermum"
"N","H","Corispermum villosum","eastern bugseed","","Corispermum villosum s.s.","Corispermum"
"N","D","Cornus alternifolia","pagoda dogwood","","Cornus alternifolia","Cornus"
"N","D,H","Cornus canadensis","bunchberry","","Cornus canadensis","Cornus"
"N","D","Cornus drummondii","Rough-leaved dogwood","","Cornus drummondii","Cornus"
"N","D","Cornus obliqua","pale dogwood","","Cornus amomum, Cornus amomum var. schuetzeana","Cornus"
"N","D","Cornus racemosa","gray dogwood","","Cornus racemosa","Cornus"
"N","D","Cornus rugosa","round-leaved dogwood","","Cornus rugosa","Cornus"
"N","D","Cornus sericea","red-osier dogwood","","Cornus sericea","Cornus"
"N","H","Corydalis aurea var. aurea","golden corydalis","","Corydalis aurea var. aurea","Corydalis"
"N","H","Corydalis micrantha var. micrantha","slender fumewort","","Corydalis micrantha var. micrantha","Corydalis"
"I","H","Corydalis nobilis","noble corydalis","","","Corydalis"
"N","H","Corydalis sempervirens","pale corydalis","","Corydalis sempervirens","Corydalis"
"N","D","Corylus americana","American hazelnut","","Corylus americana","Corylus"
"N","D","Corylus cornuta subsp. cornuta","beaked hazelnut","","Corylus cornuta","Corylus"
"N","K","Coryphantha vivipara","ball cactus","","Coryphantha vivipara, Coryphantha vivipara var. vivipara","Coryphantha"
"I","H","Cota tinctoria","golden marguerite","","Anthemis tinctoria","Cota"
"N","H","Crassula aquatica","water pygmyweed","","Crassula aquatica","Crassula"
"N","D","Crataegus calpodendron","late hawthorn","","Crataegus calpodendron","Crataegus"
"N","D","Crataegus chrysocarpa","fireberry hawthorn","","Crataegus chrysocarpa s.l.","Crataegus"
"N","D","Crataegus chrysocarpa var. blanchardii","Blanchard's hawthorn","","","Crataegus"
"N","D","Crataegus chrysocarpa var. chrysocarpa","fireberry hawthorn","","Crataegus chrysocarpa s.l.","Crataegus"
"N","D","Crataegus chrysocarpa var. faxonii","fireberry hawthorn","","Crataegus chrysocarpa s.l.","Crataegus"
"N","D","Crataegus coccinea","scarlet hawthorn","","Crataegus coccinea","Crataegus"
"N","D","Crataegus douglasii","black hawthorn","","Crataegus douglasii","Crataegus"
"N","D","Crataegus fluviatilis","river hawthorn","","","Crataegus"
"N","D","Crataegus laurentiana","Laurentian hawthorn","","","Crataegus"
"N","D","Crataegus macracantha","large-thorned hawthorn","","Crataegus succulenta s.l.","Crataegus"
"N","D","Crataegus macrosperma","bigfruit hawthorn","","Crataegus flabellata","Crataegus"
"N","D","Crataegus mollis","downy hawthorn","","Crataegus mollis","Crataegus"
"N","D","Crataegus punctata","dotted hawthorn","","Crataegus punctata","Crataegus"
"N","D","Crataegus scabrida","rough-leaved hawthorn","","","Crataegus"
"N","D","Crataegus schuettei","royal hawthorn","","","Crataegus"
"N","D","Crataegus sheridana","Sheridan's hawthorn","","","Crataegus"
"N","D","Crataegus submollis","Quebec hawthorn","","Crataegus submollis","Crataegus"
"N","D","Crataegus succulenta var. succulenta","fleshy hawthorn","","","Crataegus"
"N","H","Crepis runcinata subsp. runcinata","incised hawk's beard","","Crepis runcinata subsp. runcinata","Crepis"
"I","H","Crepis tectorum","yellow hawk's beard","","Crepis tectorum","Crepis"
"N","H","Crocanthemum bicknellii","hoary frostweed","","Helianthemum bicknellii","Crocanthemum"
"N","H","Crocanthemum canadense","Canada frostweed","","Helianthemum canadense","Crocanthemum"
"N","H","Crotalaria sagittalis var. sagittalis","rattlebox","","","Crotalaria"
"I","H","Croton glandulosus var. septentrionalis","tooth-leaved croton","","Croton glandulosus","Croton"
"N","H","Cryptogramma acrostichoides","American rock-brake","","","Cryptogramma"
"N","H","Cryptogramma stelleri","slender rock-brake","","Cryptogramma stelleri","Cryptogramma"
"N","H","Cryptotaenia canadensis","honewort","","Cryptotaenia canadensis","Cryptotaenia"
"N","H","Cuscuta campestris","field dodder","","","Cuscuta"
"N","H","Cuscuta cephalanthi","buttonbush dodder","","Cuscuta cephalanthi","Cuscuta"
"N","H","Cuscuta coryli","hazel dodder","","Cuscuta coryli","Cuscuta"
"N","H","Cuscuta glomerata","rope dodder","","Cuscuta glomerata","Cuscuta"
"N","H","Cuscuta gronovii","scaldweed","","Cuscuta gronovii","Cuscuta"
"N","H","Cuscuta gronovii var. gronovii","swamp dodder","","","Cuscuta"
"N","C,H","Cuscuta gronovii var. latiflora","swamp dodder","Cuscuta saururi","","Cuscuta"
"N","C,H","Cuscuta indecora var. indecora","large-seed dodder","","","Cuscuta"
"N","H","Cuscuta obtusiflora var. glandulosa","southern dodder","","Cuscuta obtusiflora var. glandulosa","Cuscuta"
"N","H","Cuscuta pentagona","bur clover dodder","","Cuscuta pentagona s.l.","Cuscuta"
"N","H","Cuscuta polygonorum","smartweed dodder","","Cuscuta polygonorum","Cuscuta"
"N","H","Cuscuta umbrosa","large-fruit dodder","","Cuscuta megalocarpa","Cuscuta"
"N","H","Cyclachaena xanthiifolia","marsh elder","","Iva xanthifolia","Cyclachaena"
"N","H","Cycloloma atriplicifolium","winged pigweed","","Cycloloma atriplicifolium","Cycloloma"
"N","H","Cymopterus glomeratus var. glomeratus","plains spring parsley","","Cymopterus acaulis var. acaulis","Cymopterus"
"I","H","Cynoglossum officinale","hound's tongue","","Cynoglossum officinale","Cynoglossum"
"N","H","Cynoglossum virginianum var. boreale","wild comfrey","","Cynoglossum virginianum var. boreale","Cynoglossum"
"N","G","Cyperus acuminatus","short-pointed umbrella sedge","","Cyperus acuminatus","Cyperus"
"N","G","Cyperus bipartitus","brook nut sedge","","Cyperus bipartitus","Cyperus"
"N","G","Cyperus diandrus","sedge galingale","","Cyperus diandrus","Cyperus"
"N","G","Cyperus engelmannii","Engelmann's flatsedge","","Cyperus odoratus s.l.","Cyperus"
"N","G","Cyperus erythrorhizos","red-rooted cyperus","","Cyperus erythrorhizos","Cyperus"
"I","G","Cyperus esculentus var. leptostachyus","yellow nutsedge","","Cyperus esculentus","Cyperus"
"I","G","Cyperus fuscus","brown flatsedge","","Cyperus fuscus","Cyperus"
"N","G","Cyperus houghtonii","Houghton's cyperus","","Cyperus houghtonii","Cyperus"
"N","G","Cyperus lupulinus","slender nut sedge","","Cyperus lupulinus","Cyperus"
"N","G","Cyperus lupulinus subsp. lupulinus","slender nut sedge","","Cyperus lupulinus","Cyperus"
"N","G","Cyperus lupulinus subsp. macilentus","slender nut sedge","","Cyperus lupulinus","Cyperus"
"N","G","Cyperus odoratus","fragrant cyperus","","Cyperus odoratus s.l.","Cyperus"
"N","G","Cyperus schweinitzii","Schweinitz's nut sedge","","Cyperus schweinitzii","Cyperus"
"N","G","Cyperus squarrosus","awned umbrella sedge","","Cyperus aristatus, Cyperus squarrosus s.s.","Cyperus"
"N","G","Cyperus strigosus","straw-colored umbrella sedge","","Cyperus strigosus","Cyperus"
"N","G","Cyperus subsquarrosus","hemicarpha","","Hemicarpha micrantha","Cyperus"
"N","G","Cyperus xmesochorus","Midland sand sedge","","Cyperus xmesochorus","Cyperus"
"N","H","Cypripedium acaule","stemless lady's slipper","","Cypripedium acaule","Cypripedium"
"N","H","Cypripedium arietinum","ram's head orchid","","Cypripedium arietinum","Cypripedium"
"N","H","Cypripedium candidum","small white lady's slipper","","Cypripedium candidum","Cypripedium"
"N","H","Cypripedium parviflorum","yellow lady's slipper","","Cypripedium calceolus","Cypripedium"
"N","H","Cypripedium parviflorum var. makasin","lesser yellow lady's-slipper","","Cypripedium calceolus var. parviflorum","Cypripedium"
"N","H","Cypripedium parviflorum var. pubescens","large yellow lady's-slipper","","Cypripedium calceolus var. pubescens","Cypripedium"
"N","H","Cypripedium reginae","showy lady's slipper","","Cypripedium reginae","Cypripedium"
"N","H","Cypripedium xandrewsii","Andrew's lady's slipper","","Cypripedium xandrewsii","Cypripedium"
"N","H","Cystopteris bulbifera","bulblet bladder fern","","Cystopteris bulbifera","Cystopteris"
"N","H","Cystopteris fragilis","fragile bladder fern","","Cystopteris fragilis s.l., Cystopteris fragilis var. mackayi s.l.","Cystopteris"
"N","H","Cystopteris laurentiana","Laurentian bladder fern","","Cystopteris laurentiana","Cystopteris"
"N","H","Cystopteris protrusa","lowland bladder fern","","Cystopteris protrusa","Cystopteris"
"N","H","Cystopteris tennesseensis","Tennessee bladder fern","","Cystopteris tennesseensis","Cystopteris"
"N","H","Cystopteris tenuis","Macay's brittle fern","","Cystopteris fragilis s.l., Cystopteris fragilis var. mackayi s.l.","Cystopteris"
"I","G","Dactylis glomerata","orchard grass","","Dactylis glomerata","Dactylis"
"N","H","Dalea candida","white prairie clover","","Dalea candida","Dalea"
"N","H","Dalea candida var. candida","white prairie clover","","Dalea candida var. candida","Dalea"
"N","H","Dalea candida var. oligophylla","western white prairie clover","","Dalea candida var. oligophylla","Dalea"
"N","H","Dalea leporina","foxtail dalea","","Dalea leporina","Dalea"
"N","H","Dalea purpurea var. purpurea","purple prairie clover","","Dalea purpurea var. purpurea","Dalea"
"N","H","Dalea villosa var. villosa","silky prairie clover","","Dalea villosa var. villosa","Dalea"
"N","G","Danthonia spicata","poverty oatgrass","","Danthonia spicata","Danthonia"
"N","D","Dasiphora fruticosa","shrubby cinquefoil","","Potentilla fruticosa","Dasiphora"
"I","H","Datura stramonium","devil's apple","","Datura stramonium","Datura"
"I","H","Datura wrightii","angel's trumpet","","Datura wrightii","Datura"
"I","H","Daucus carota","Queen Anne's lace","","Daucus carota","Daucus"
"N","D","Decodon verticillatus","water-willow","","Decodon verticillatus, Decodon verticillatus var. laevigatus","Decodon"
"N","H","Delphinium carolinianum subsp. virescens","prairie larkspur","","Delphinium virescens","Delphinium"
"N","H","Dendrolycopodium dendroideum","Prickly Tree Clubmoss","","Lycopodium obscurum s.s.","Dendrolycopodium"
"N","H","Dendrolycopodium hickeyi","Hickey’s Tree Clubmoss","","Lycopodium obscurum s.s.","Dendrolycopodium"
"N","H","Dendrolycopodium obscurum","Flat-Branched Tree Clubmoss","","","Dendrolycopodium"
"N","H","Deparia acrostichoides","silvery spleenwort","","Athyrium thelypterioides","Deparia"
"N","G","Deschampsia cespitosa subsp. cespitosa","tufted hair grass","","Deschampsia cespitosa","Deschampsia"
"N","G","Deschampsia flexuosa","wavy hairgrass","","Deschampsia flexuosa","Deschampsia"
"N","H","Descurainia incana","Richardson's tansy mustard","","Descurainia richardsonii","Descurainia"
"N","H","Descurainia pinnata subsp. brachycarpa","pinnate tansy mustard","","Descurainia pinnata var. brachycarpa","Descurainia"
"I","H","Descurainia sophia","herb sophia","","Descurainia sophia","Descurainia"
"N","H","Desmanthus illinoensis","prairie mimosa","","Desmanthus illinoensis","Desmanthus"
"N","H","Desmodium canadense","Canada tick trefoil","","Desmodium canadense","Desmodium"
"N","H","Desmodium cuspidatum","big tick trefoil","","Desmodium cuspidatum, Desmodium cuspidatum var. longifolium","Desmodium"
"N","H","Desmodium illinoense","Illinois tick trefoil","","Desmodium illinoense","Desmodium"
"I","H","Dianthus armeria subsp. armeria","Deptford pink","","Dianthus armeria","Dianthus"
"I","H","Dianthus barbatus subsp. barbatus","","","Dianthus barbatus","Dianthus"
"I","H","Dianthus deltoides subsp. deltoides","","","Dianthus deltoides","Dianthus"
"N","G","Diarrhena obovata","obovate beakgrain","","Diarrhena americana var. obovata","Diarrhena"
"N","H","Dicentra canadensis","squirrel corn","","Dicentra canadensis","Dicentra"
"N","H","Dicentra cucullaria","dutchman's breeches","","Dicentra cucullaria","Dicentra"
"N","G","Dichanthelium acuminatum","hairy panic grass","","Panicum lanuginosum","Dichanthelium"
"N","G","Dichanthelium acuminatum subsp. fasciculatum","hairy panic grass","","Panicum lanuginosum var. fasciculatum, Panicum lanuginosum var. tennesseense","Dichanthelium"
"N","G","Dichanthelium acuminatum subsp. implicatum","hairy panic grass","","Panicum columbianum, Panicum lanuginosum var. implicatum, Panicum leucothrix","Dichanthelium"
"N","G","Dichanthelium acuminatum subsp. lindheimeri","hairy panic grass","","Panicum lanuginosum var. lindheimeri","Dichanthelium"
"N","G","Dichanthelium boreale","northern panic grass","","Panicum boreale","Dichanthelium"
"N","G","Dichanthelium depauperatum","poor panic grass","","Panicum depauperatum","Dichanthelium"
"N","G","Dichanthelium latifolium","broad-leaved panic grass","","Panicum latifolium","Dichanthelium"
"N","G","Dichanthelium leibergii","Leiberg's panic grass","","Panicum leibergii","Dichanthelium"
"N","G","Dichanthelium linearifolium","linear-leaved panic grass","","Panicum linearifolium","Dichanthelium"
"N","G","Dichanthelium oligosanthes","few-flowered panic grass","","Panicum oligosanthes","Dichanthelium"
"N","G","Dichanthelium oligosanthes subsp. oligosanthes","Scribner's panic grass","","Panicum oligosanthes","Dichanthelium"
"N","G","Dichanthelium oligosanthes subsp. scribnerianum","Scribner's panic grass","","Panicum oligosanthes","Dichanthelium"
"N","G","Dichanthelium ovale","long-haired panic grass","","Panicum commonsianum var. euchlamydeum, Panicum villosissimum","Dichanthelium"
"N","G","Dichanthelium ovale subsp. praecocius","long-haired panic grass","","Panicum villosissimum","Dichanthelium"
"N","G","Dichanthelium ovale subsp. pseudopubescens","white-haired panic grass","","Panicum commonsianum var. euchlamydeum, Panicum villosissimum","Dichanthelium"
"N","G","Dichanthelium ovale subsp. villosissimum","long-haired panic grass","","Panicum villosissimum","Dichanthelium"
"N","G","Dichanthelium perlongum","long-stalked panic grass","","","Dichanthelium"
"N","G","Dichanthelium wilcoxianum","Wilcox's panic grass","","Panicum wilcoxianum","Dichanthelium"
"N","G","Dichanthelium xanthophysum","yellow panic grass","","Panicum xanthophysum","Dichanthelium"
"N","H","Didiplis diandra","water purslane","","Didiplis diandra","Didiplis"
"N","D","Diervilla lonicera","bush honeysuckle","","Diervilla lonicera","Diervilla"
"I","H","Digitalis grandiflora","yellow foxglove","","","Digitalis"
"I","H","Digitalis lanata","Grecian foxglove","","Digitalis lanata","Digitalis"
"N","G","Digitaria cognata","fall witch grass","","Leptoloma cognatum","Digitaria"
"I","G","Digitaria ischaemum","smooth crabgrass","","Digitaria ischaemum","Digitaria"
"I","G","Digitaria sanguinalis","hairy crabgrass","","Digitaria sanguinalis","Digitaria"
"N","H","Dioscorea villosa","wild yam","","Dioscorea villosa","Dioscorea"
"N","H","Diphasiastrum complanatum","northern ground-cedar","","Lycopodium complanatum","Diphasiastrum"
"N","H","Diphasiastrum digitatum","fan ground-cedar","","Lycopodium digitatum","Diphasiastrum"
"N","H","Diphasiastrum tristachyum","blue ground-cedar","","Lycopodium tristachyum","Diphasiastrum"
"N","H","Diphasiastrum xhabereri","Haberer's groundcedar","","Lycopodium xhabereri","Diphasiastrum"
"N","H","Diphasiastrum xverecundum","running-pine","","","Diphasiastrum"
"N","H","Diphasiastrum xzeilleri","Zeiller's groundcedar","","Lycopodium xzeilleri","Diphasiastrum"
"I","H","Dipsacus fullonum","common teasel","","Dipsacus fullonum","Dipsacus"
"I","H","Dipsacus laciniatus","cutleaf teasel","","Dipsacus laciniatus","Dipsacus"
"N","D","Dirca palustris","leatherwood","","Dirca palustris","Dirca"
"N","G","Distichlis spicata","salt grass","","Distichlis spicata var. stricta","Distichlis"
"N","H","Dodecatheon amethystinum","jeweled shooting star","","Dodecatheon radicatum, Dodecatheon radicatum var. radicatum","Dodecatheon"
"N","H","Dodecatheon meadia","prairie shooting star","","Dodecatheon meadia var. meadia","Dodecatheon"
"N","H","Doellingeria umbellata","flat-topped aster","","Aster pubentior, Aster umbellatus","Doellingeria"
"N","H","Doellingeria umbellata var. pubens","flat-topped aster","","Aster pubentior","Doellingeria"
"N","H","Doellingeria umbellata var. umbellata","flat-topped aster","","Aster umbellatus","Doellingeria"
"N","H","Draba arabisans","Arabian whitlow grass","","Draba arabisans","Draba"
"N","H","Draba cana","hoary whitlow grass","","Draba cana","Draba"
"N","H","Draba nemorosa","yellow whitlow grass","","Draba nemorosa","Draba"
"N","H","Draba norvegica","Norwegian whitlow grass","","Draba norvegica","Draba"
"N","H","Draba reptans","Carolina whitlow grass","","Draba reptans var. reptans","Draba"
"I","H","Draba verna","","","Draba verna","Draba"
"N","H","Dracocephalum parviflorum","dragonhead","","Dracocephalum parviflorum","Dracocephalum"
"N","H","Drosera anglica","English sundew","","Drosera anglica","Drosera"
"N","H","Drosera intermedia","spatulate-leaved sundew","","Drosera intermedia","Drosera"
"N","H","Drosera linearis","linear-leaved sundew","","Drosera linearis","Drosera"
"N","H","Drosera rotundifolia","round-leaved sundew","","Drosera rotundifolia","Drosera"
"N","H","Drosera xobovata","obovate-leaved sundew","","Drosera xobovata","Drosera"
"N","H","Drymocallis arguta","tall cinquefoil","","Potentilla arguta, Potentilla arguta subsp. arguta","Drymocallis"
"N","H","Dryopteris carthusiana","spinulose wood fern","","Dryopteris carthusiana","Dryopteris"
"N","H","Dryopteris cristata","crested wood fern","","Dryopteris cristata","Dryopteris"
"N","H","Dryopteris expansa","spreading wood fern","","Dryopteris expansa","Dryopteris"
"N","H","Dryopteris filix-mas","male fern","","Dryopteris filix-mas","Dryopteris"
"N","H","Dryopteris fragrans","fragrant wood fern","","Dryopteris fragrans","Dryopteris"
"N","H","Dryopteris goldieana","Goldie’s woodfern","","Dryopteris goldiana","Dryopteris"
"N","H","Dryopteris intermedia","evergreen wood fern","","Dryopteris intermedia","Dryopteris"
"N","H","Dryopteris marginalis","marginal wood fern","","Dryopteris marginalis","Dryopteris"
"N","H","Dryopteris xboottii","Boott's shield fern","","Dryopteris xboottii","Dryopteris"
"N","H","Dryopteris xtriploidea","triploid shield fern","","Dryopteris xtriploidea","Dryopteris"
"N","H","Dryopteris xuliginosa","swamp shield fern","","Dryopteris xuliginosa","Dryopteris"
"I","H","Duchesnea indica var. indica","Indian-strawberry","","","Duchesnea"
"N","G","Dulichium arundinaceum var. arundinaceum","three-way sedge","","Dulichium arundinaceum","Dulichium"
"I","H","Dysphania botrys","Jerusalem oak","","Chenopodium botrys","Dysphania"
"N","H","Dyssodia papposa","fetid marigold","","Dyssodia papposa","Dyssodia"
"N","H","Echinacea angustifolia","narrow-leaved purple coneflower","","Echinacea pallida var. angustifolia","Echinacea"
"I","G","Echinochloa crus-galli","cockspur barnyard grass","","Echinochloa crusgalli, Echinochloa crusgalli var. crusgalli","Echinochloa"
"N","G","Echinochloa muricata","rough barnyard grass","","Echinochloa muricata","Echinochloa"
"N","G","Echinochloa muricata var. microstachya","rough barnyard grass","","Echinochloa muricata var. microstachya","Echinochloa"
"N","G","Echinochloa muricata var. muricata","rough barnyard grass","","Echinochloa muricata var. muricata","Echinochloa"
"N","G","Echinochloa walteri","Walter's barnyard grass","","Echinochloa walteri","Echinochloa"
"N","H","Echinocystis lobata","wild cucumber","","Echinocystis lobata","Echinocystis"
"N","H","Echinodorus berteroi","tall bur-head","","","Echinodorus"
"I","H","Echinops sphaerocephalus","great globethistle","","Echinops sphaerocephalus","Echinops"
"I","H","Echium vulgare","blue weed","","Echium vulgare","Echium"
"N","H","Eclipta prostrata","yerba de tajo","","Eclipta prostrata","Eclipta"
"I","D","Elaeagnus angustifolia","Russian olive","","Elaeagnus angustifolia","Elaeagnus"
"N","D","Elaeagnus commutata","silverberry","","Elaeagnus commutata","Elaeagnus"
"I","D","Elaeagnus umbellata","autumn olive","","Elaeagnus umbellata","Elaeagnus"
"N","H,S","Elatine americana","American waterwort","","","Elatine"
"N","H,S","Elatine brachysperma","short-seed waterwort","","","Elatine"
"N","H,S","Elatine minima","small waterwort","","Elatine minima","Elatine"
"I","H,S","Elatine triandra","three-stamened waterwort","","Elatine triandra","Elatine"
"N","G","Eleocharis acicularis","least spikerush","","Eleocharis acicularis","Eleocharis"
"N","G","Eleocharis coloradoensis","dwarf spikerush","","Eleocharis parvula var. anachaeta","Eleocharis"
"N","G","Eleocharis compressa","flattened spikerush","","Eleocharis compressa","Eleocharis"
"N","G","Eleocharis compressa var. acutisquamata","flattened spikerush","","Eleocharis compressa","Eleocharis"
"N","G","Eleocharis compressa var. compressa","flattened spikerush","","Eleocharis compressa","Eleocharis"
"N","G","Eleocharis elliptica","elliptic spikerush","","Eleocharis tenuis var. borealis","Eleocharis"
"N","G","Eleocharis engelmannii","Engelmann's spikerush","","Eleocharis ovata s.l.","Eleocharis"
"N","G","Eleocharis erythropoda","bald spikerush","","Eleocharis palustris s.l.","Eleocharis"
"N","G","Eleocharis flavescens var. olivacea","olivaceous spikerush","","Eleocharis flavescens var. olivacea","Eleocharis"
"N","G","Eleocharis intermedia","intermediate spikerush","","Eleocharis intermedia","Eleocharis"
"N","G","Eleocharis macrostachya","large-spike spikerush","","Eleocharis palustris s.l.","Eleocharis"
"N","G","Eleocharis mamillata var. mamillata","soft-stem spikerush","","","Eleocharis"
"N","G","Eleocharis nitida","neat spikerush","","","Eleocharis"
"N","G","Eleocharis obtusa","blunt spikerush","","Eleocharis ovata s.l.","Eleocharis"
"N","G","Eleocharis ovata","ovoid spikerush","","Eleocharis ovata s.l.","Eleocharis"
"N","G","Eleocharis palustris","marsh spikerush","","Eleocharis palustris s.l.","Eleocharis"
"N","G","Eleocharis quinqueflora","few-flowered spikerush","","Eleocharis pauciflora","Eleocharis"
"N","G","Eleocharis robbinsii","Robbins' spikerush","","Eleocharis robbinsii","Eleocharis"
"N","G","Eleocharis rostellata","beaked spikerush","","Eleocharis rostellata","Eleocharis"
"N","G","Eleocharis wolfii","Wolf's spikerush","","Eleocharis wolfii","Eleocharis"
"N","H","Ellisia nyctelea","ellisia","","Ellisia nyctelea","Ellisia"
"N","H,S","Elodea bifoliata","two leaf waterweed","","","Elodea"
"N","H,S","Elodea canadensis","Canadian elodea","","Elodea canadensis","Elodea"
"N","H,S","Elodea nuttallii","Nuttall's elodea","","Elodea nuttallii","Elodea"
"N","G","Elymus canadensis var. canadensis","Canada wildrye","","Elymus canadensis","Elymus"
"N","G","Elymus curvatus","awnless wild rye","","Elymus curvatus","Elymus"
"N","G","Elymus diversiglumis","interrupted wild rye","","Elymus diversiglumis","Elymus"
"N","G","Elymus hystrix","bottlebrush grass","Hystix patula","Elymus hystrix","Elymus"
"I","G","Elymus repens","quackgrass","","Elytrigia repens","Elymus"
"N","G","Elymus riparius","riverbank wildrye","","","Elymus"
"N","G","Elymus trachycaulus","slender wheatgrass","","Elymus trachycaulus","Elymus"
"N","G","Elymus trachycaulus subsp. subsecundus","one-sided wheatgrass","","Elymus trachycaulus","Elymus"
"N","G","Elymus trachycaulus subsp. trachycaulus","slender wheatgrass","","Elymus trachycaulus","Elymus"
"N","G","Elymus villosus","downy wild rye","","Elymus villosus","Elymus"
"N","G","Elymus virginicus","Virginia wildrye","","Elymus virginicus","Elymus"
"N","G","Elymus virginicus var. jejunus","Virginia wildrye","","Elymus virginicus","Elymus"
"N","G","Elymus virginicus var. virginicus","Virginia wild rye","","Elymus virginicus","Elymus"
"N","G","Elymus wiegandii","Weigand's wild rye","","Elymus wiegandii","Elymus"
"N","B","Empetrum atropurpureum","purple crowberry","","Empetrum rubrum var. atropurpureum","Empetrum"
"N","B","Empetrum nigrum","black crowberry","","Empetrum nigrum var. hermaphroditum","Empetrum"
"N","H","Enemion biternatum","false rue anemone","","Isopyrum biternatum","Enemion"
"N","B","Epigaea repens","trailing arbutus","","Epigaea repens","Epigaea"
"N","H","Epilobium ciliatum","American willow herb","","Epilobium ciliatum s.s.","Epilobium"
"N","H","Epilobium ciliatum subsp. ciliatum","American willow herb","","Epilobium ciliatum var. ciliatum","Epilobium"
"N","H","Epilobium ciliatum subsp. glandulosum","northern willow herb","","Epilobium glandulosum","Epilobium"
"N","H","Epilobium coloratum","purple-leaved willow herb","","Epilobium coloratum","Epilobium"
"N","H","Epilobium densum","downy willow herb","","Epilobium strictum","Epilobium"
"N","H","Epilobium leptophyllum","linear-leaved willow herb","","Epilobium leptophyllum","Epilobium"
"N","H","Epilobium palustre","marsh willow herb","","Epilobium palustre","Epilobium"
"N","H","Epilobium xwisconsinense","Wisconsin willow herb","","Epilobium xwisconsinense","Epilobium"
"I","H","Epipactis helleborine","broad-leaved helleborine","","Epipactis helleborine","Epipactis"
"N","H","Equisetum arvense","field horsetail","","Equisetum arvense","Equisetum"
