Native Status,Physiognomy,MN DNR Official Name,Common Name,Emerging (New) Taxonomy,Gleason & Cronquist Synonym,doug,gran,pope,stev
N,H,Apocynum cannabinum,American hemp,,"Apocynum cannabinum, Apocynum sibiricum",doug,gran,pope,stev
N,H,Aquilegia canadensis,columbine,,Aquilegia canadensis,doug,gran,pope,stev
N,H,Arabis pycnocarpa var. pycnocarpa,hairy rock cress,,Arabis hirsuta var. pycnocarpa,doug,"",pope,""
N,H,Aralia nudicaulis,wild sarsaparilla,,Aralia nudicaulis,doug,gran,pope,""
N,H,Aralia racemosa,American spikenard,,Aralia racemosa,doug,gran,pope,""
I,H,Arctium minus,common burdock,,Arctium minus,doug,gran,pope,""
N,H,Arisaema triphyllum,Jack-in-the-pulpit,,"Arisaema triphyllum, Arisaema triphyllum var. pusillum, Arisaema triphyllum var. triphyllum",doug,gran,pope,""
N,G,Aristida basiramea,base-branched three-awn,,Aristida basiramea,"","",pope,""
I,H,Artemisia absinthium,absinthe wormwood,,Artemisia absinthium,doug,gran,"",stev
N,H,Artemisia campestris subsp. caudata,field sagewort,,Artemisia campestris subsp. caudata,doug,"",pope,stev
N,H,Artemisia dracunculus,tarragon,,Artemisia dracunculus,doug,gran,pope,stev
N,H,Artemisia frigida,sage wormwood,,Artemisia frigida,doug,gran,pope,stev
N,H,Artemisia ludoviciana subsp. ludoviciana,white sage,,Artemisia ludoviciana var. ludoviciana,doug,gran,pope,stev
N,H,Artemisia serrata,saw-tooth wormwood,,Artemisia serrata,doug,"","",""
N,H,Asarum canadense,wild ginger,,Asarum canadense,doug,"",pope,""
N,H,Asclepias exaltata,poke milkweed,,Asclepias exaltata,doug,"","",""
N,H,Asclepias incarnata subsp. incarnata,swamp milkweed,,Asclepias incarnata var. incarnata,doug,gran,pope,stev
N,H,Asclepias lanuginosa,woolly milkweed,,Asclepias lanuginosa,doug,"","",stev
N,H,Asclepias ovalifolia,oval-leaved milkweed,,Asclepias ovalifolia,doug,"",pope,""
N,H,Asclepias speciosa,showy milkweed,,Asclepias speciosa,"","",pope,stev
N,H,Asclepias syriaca,common milkweed,,Asclepias syriaca,doug,gran,pope,""
N,H,Asclepias verticillata,whorled milkweed,,Asclepias verticillata,doug,gran,pope,stev
N,H,Asclepias viridiflora,green milkweed,,Asclepias viridiflora,doug,"",pope,""
I,H,Asparagus officinalis,asparagus,,Asparagus officinalis,doug,"",pope,stev
N,H,Astragalus agrestis,fieldmilk-vetch,,Astragalus agrestis,doug,gran,pope,stev
N,H,Astragalus canadensis var. canadensis,Canada milk-vetch,,Astragalus canadensis,doug,gran,pope,stev
N,H,Astragalus crassicarpus var. crassicarpus,ground plum,,Astragalus crassicarpus var. crassicarpus,doug,gran,pope,stev
N,H,Astragalus laxmannii var. robustior,prairie milk-vetch,,Astragalus adsurgens var. robustior,doug,gran,pope,stev
N,H,Astragalus lotiflorus,lotus milk-vetch,,Astragalus lotiflorus,doug,gran,pope,stev
N,H,Athyrium filix-femina var. angustum,northern lady fern,,Athyrium filix-femina var. michauxii,doug,gran,pope,""
I,H,Barbarea vulgaris,yellow rocket,,Barbarea vulgaris,doug,"","",""
N,G,Beckmannia syzigachne,American slough grass,,Beckmannia syzigachne,doug,gran,"",stev
I,D,Berberis thunbergii,Japanese barberry,,Berberis thunbergii,doug,"","",""
I,H,Berteroa incana,hoary alyssum,,Berteroa incana,doug,"","",""
N,H,Berula incisa,stream parsnip,,Berula erecta,"","",pope,""
N,D,Betula alleghaniensis,yellow birch,,Betula alleghaniensis,doug,"","",""
N,D,Betula papyrifera,paper birch,,"Betula papyrifera s.l., Betula papyrifera var. papyrifera",doug,"",pope,""
N,D,Betula pumila,bog birch,,Betula pumila,doug,"",pope,""
N,H,Bidens cernua,nodding bur marigold,,Bidens cernua,doug,"",pope,""
N,H,Bidens frondosa,leafy beggarticks,,Bidens frondosa,doug,"",pope,stev
N,H,Bidens tripartita,tufted beggarticks,,Bidens comosa,"",gran,"",stev
N,H,Boechera grahamii,spreading rock cress,,Arabis divaricarpa,"","",pope,stev
N,G,Bolboschoenus fluviatilis,river bulrush,,Scirpus fluviatilis,doug,"",pope,stev
N,G,Bolboschoenus maritimus subsp. paludosus,prairie bulrush,,Scirpus maritimus var. paludosus,"",gran,"",""
N,H,Boltonia asteroides,false aster,,Boltonia asteroides,doug,"",pope,""
N,H,Boltonia asteroides var. latisquama,false aster,,Boltonia asteroides var. latisquama,"","",pope,""
N,H,Boltonia asteroides var. recognita,false aster,,Boltonia asteroides var. recognita,doug,"",pope,""
N,H,Botrychium campestre,prairie moonwort,,,--,--,--,--
N,H,Botrychium campestre var. campestre,prairie moonwort,,Botrychium campestre,"","",pope,""
N,H,Botrypus virginianus,rattlesnake fern,,Botrychium virginianum,doug,gran,pope,""
N,G,Bouteloua curtipendula var. curtipendula,side-oats grama,,Bouteloua curtipendula var. curtipendula,doug,"",pope,stev
N,G,Bouteloua gracilis,blue grama,,Bouteloua gracilis,doug,"",pope,stev
N,G,Bouteloua hirsuta var. hirsuta,hairy grama,,,doug,"",pope,""
I,H,Brassica juncea,Indian mustard,,Brassica juncea,"","",pope,""
I,H,Brassica nigra,black mustard,,Brassica nigra,"","","",stev
N,G,Bromus ciliatus,fringed brome,,Bromus ciliatus,doug,gran,pope,""
I,G,Bromus inermis,smooth brome,,Bromus inermis,doug,gran,pope,stev
I,G,Bromus japonicus,Japanese brome,,Bromus japonicus,"","",pope,""
