Native Status,Physiognomy,MN DNR Official Name,Common Name,Emerging (New) Taxonomy,Gleason & Cronquist Synonym,doug,gran,pope,stev
N,G,Dichanthelium leibergii,Leiberg's panic grass,,Panicum leibergii,doug,"",pope,stev
N,G,Dichanthelium linearifolium,linear-leaved panic grass,,Panicum linearifolium,"","",pope,""
N,G,Dichanthelium oligosanthes,few-flowered panic grass,,Panicum oligosanthes,doug,"","",""
N,G,Dichanthelium ovale,long-haired panic grass,,"Panicum commonsianum var. euchlamydeum, Panicum villosissimum",doug,"",pope,""
N,G,Dichanthelium ovale subsp. praecocius,long-haired panic grass,,Panicum villosissimum,doug,"",pope,""
N,G,Dichanthelium wilcoxianum,Wilcox's panic grass,,Panicum wilcoxianum,"","",pope,""
N,D,Diervilla lonicera,bush honeysuckle,,Diervilla lonicera,doug,"",pope,""
N,D,Dirca palustris,leatherwood,,Dirca palustris,doug,"","",""
N,H,Doellingeria umbellata,flat-topped aster,,"Aster pubentior, Aster umbellatus",doug,gran,pope,""
N,H,Draba nemorosa,yellow whitlow grass,,Draba nemorosa,"","",pope,""
N,H,Draba reptans,Carolina whitlow grass,,Draba reptans var. reptans,"","",pope,""
N,H,Dracocephalum parviflorum,dragonhead,,Dracocephalum parviflorum,"",gran,"",""
N,H,Drosera rotundifolia,round-leaved sundew,,Drosera rotundifolia,doug,"",pope,""
N,H,Drymocallis arguta,tall cinquefoil,,"Potentilla arguta, Potentilla arguta subsp. arguta",doug,"",pope,""
N,H,Dryopteris carthusiana,spinulose wood fern,,Dryopteris carthusiana,doug,"",pope,""
N,H,Dryopteris cristata,crested wood fern,,Dryopteris cristata,"",gran,"",""
N,H,Echinacea angustifolia,narrow-leaved purple coneflower,,Echinacea pallida var. angustifolia,doug,gran,pope,stev
I,G,Echinochloa crus-galli,cockspur barnyard grass,,"Echinochloa crusgalli, Echinochloa crusgalli var. crusgalli","","",pope,""
N,G,Echinochloa muricata,rough barnyard grass,,Echinochloa muricata,doug,gran,pope,""
N,G,Echinochloa muricata var. microstachya,rough barnyard grass,,Echinochloa muricata var. microstachya,doug,gran,"",""
N,H,Echinocystis lobata,wild cucumber,,Echinocystis lobata,doug,gran,pope,stev
I,D,Elaeagnus angustifolia,Russian olive,,Elaeagnus angustifolia,"","","",stev
N,G,Eleocharis acicularis,least spikerush,,Eleocharis acicularis,doug,"","",""
N,G,Eleocharis compressa,flattened spikerush,,Eleocharis compressa,"","",pope,""
N,G,Eleocharis elliptica,elliptic spikerush,,Eleocharis tenuis var. borealis,"","",pope,""
N,G,Eleocharis erythropoda,bald spikerush,,Eleocharis palustris s.l.,doug,gran,pope,stev
N,G,Eleocharis macrostachya,large-spike spikerush,,Eleocharis palustris s.l.,"","","",stev
N,G,Eleocharis palustris,marsh spikerush,,Eleocharis palustris s.l.,doug,gran,pope,stev
N,G,Eleocharis quinqueflora,few-flowered spikerush,,Eleocharis pauciflora,"","",pope,""
N,H,Ellisia nyctelea,ellisia,,Ellisia nyctelea,doug,gran,pope,stev
N,"H,S",Elodea canadensis,Canadian elodea,,Elodea canadensis,"","",pope,""
N,G,Elymus canadensis var. canadensis,Canada wildrye,,Elymus canadensis,doug,gran,pope,stev
N,G,Elymus curvatus,awnless wild rye,,Elymus curvatus,doug,"","",""
N,G,Elymus hystrix,bottlebrush grass,Hystix patula,Elymus hystrix,doug,gran,pope,""
I,G,Elymus repens,quackgrass,,Elytrigia repens,doug,gran,pope,""
N,G,Elymus trachycaulus,slender wheatgrass,,Elymus trachycaulus,doug,"",pope,""
N,G,Elymus trachycaulus subsp. subsecundus,one-sided wheatgrass,,Elymus trachycaulus,--,--,--,--
N,G,Elymus villosus,downy wild rye,,Elymus villosus,doug,gran,pope,""
N,G,Elymus virginicus,Virginia wildrye,,Elymus virginicus,doug,"",pope,""
N,G,Elymus virginicus var. virginicus,Virginia wild rye,,Elymus virginicus,--,--,--,--
N,H,Epilobium ciliatum,American willow herb,,Epilobium ciliatum s.s.,doug,"",pope,""
N,H,Epilobium ciliatum subsp. ciliatum,American willow herb,,Epilobium ciliatum var. ciliatum,doug,"",pope,""
N,H,Epilobium coloratum,purple-leaved willow herb,,Epilobium coloratum,doug,"",pope,""
N,H,Epilobium leptophyllum,linear-leaved willow herb,,Epilobium leptophyllum,doug,gran,pope,""
N,H,Epilobium palustre,marsh willow herb,,Epilobium palustre,"","",pope,""
N,H,Equisetum arvense,field horsetail,,Equisetum arvense,doug,gran,pope,""
N,H,Equisetum fluviatile,water horsetail,,Equisetum fluviatile,doug,"",pope,""
N,H,Equisetum laevigatum,smooth scouring rush,,Equisetum laevigatum,doug,gran,pope,stev
N,H,Equisetum praealtum,common scouring rush,,Equisetum hyemale var. affine,doug,"",pope,""
N,H,Equisetum pratense,meadow horsetail,,Equisetum pratense,doug,"","",""
N,H,Equisetum scirpoides,dwarf scouring rush,,Equisetum scirpoides,doug,"","",""
N,H,Equisetum xferrissii,Ferriss' scouring rush,,Equisetum xferrissii,"","",pope,""
I,G,Eragrostis cilianensis,stink grass,,Eragrostis cilianensis,"","","",stev
N,G,Eragrostis pectinacea var. pectinacea,tufted lovegrass,,Eragrostis pectinacea,"","","",stev
N,H,Erigeron glabellus var. pubescens,smooth fleabane,,Erigeron glabellus var. pubescens,doug,"","",""
N,H,Erigeron philadelphicus var. philadelphicus,Philadelphia fleabane,,Erigeron philadelphicus,doug,gran,pope,stev
N,H,Erigeron strigosus,daisy fleabane,,Erigeron strigosus,doug,gran,pope,stev
N,G,Eriophorum angustifolium subsp. angustifolium,tall cottongrass,,Eriophorum polystachion,doug,"",pope,""
N,G,Eriophorum gracile,slender cottongrass,,Eriophorum gracile,doug,"","",""
N,G,Eriophorum russeolum subsp. leiocarpum,Chamisso's cottongrass,,Eriophorum chamissonis,doug,"",pope,""
I,H,Erucastrum gallicum,dog mustard,,Erucastrum gallicum,"","",pope,stev
I,H,Erysimum cheiranthoides,wormseed mustard,,Erysimum cheiranthoides,doug,"",pope,""
N,H,Erythranthe geyeri,yellow monkey flower,,"Mimulus glabratus, Mimulus glabratus var. fremontii",doug,gran,"",""
N,H,Eupatorium perfoliatum,common boneset,,Eupatorium perfoliatum,doug,gran,pope,""
I,H,Euphorbia cyparissias,cypress spurge,,Euphorbia cyparissias,doug,"","",""
N,H,Euphorbia geyeri var. geyeri,Geyer's sandmat,,,doug,"","",""
N,H,Euphorbia glyptosperma,ribseed sandmat,,Euphorbia glyptosperma,doug,gran,pope,stev
N,H,Euphorbia serpillifolia subsp. serpillifolia,thyme-leaved spurge,,Euphorbia serpyllifolia,"",gran,"",""
I,H,Euphorbia virgata,leafy spurge,,Euphorbia esula,doug,"",pope,stev
N,H,Euthamia graminifolia,grass-leaved goldenrod,,"Euthamia graminifolia, Euthamia graminifolia var. graminifolia, Euthamia graminifolia var. major",doug,gran,pope,stev
N,H,Eutrochium maculatum,spotted Joe pye weed,,Eupatorium maculatum,doug,gran,pope,stev
N,H,Eutrochium maculatum var. bruneri,spotted Joe pye weed,,Eupatorium maculatum subsp. bruneri,--,--,--,--
N,H,Eutrochium maculatum var. maculatum,spotted Joe pye weed,,Eupatorium maculatum var. maculatum,--,--,--,--
N,H,Eutrochium purpureum var. holzingeri,sweet-scented Joe pye weed,,Eupatorium purpureum var. holzingeri,--,--,--,--
I,H,Fallopia convolvulus,black-bindweed,,Polygonum convolvulus,doug,gran,pope,""
N,H,Fallopia scandens,false buckwheat,,Polygonum scandens var. scandens,"","",pope,""
I,G,Festuca rubra,red fescue,,Festuca rubra,"","",pope,""
N,G,Festuca subverticillata,nodding fescue,,Festuca subverticillata,doug,"",pope,""
N,H,Fragaria vesca subsp. americana,wood strawberry,,Fragaria vesca var. americana,doug,gran,pope,""
N,H,Fragaria virginiana,common strawberry,,Fragaria virginiana,doug,gran,pope,stev
I,D,Frangula alnus,glossy buckthorn,,Rhamnus frangula,"","",pope,""
N,D,Fraxinus nigra,black ash,,Fraxinus nigra,doug,"","",""
N,D,Fraxinus pennsylvanica,green ash,,Fraxinus pennsylvanica,doug,gran,pope,stev
N,H,Gaillardia aristata,blanketflower,,Gaillardia aristata,"","","",stev
N,H,Galearis spectabilis,showy orchis,,Orchis spectabilis,doug,"",pope,""
I,H,Galinsoga parviflora var. parviflora,small-flowered galinsoga,,Galinsoga parviflora,doug,"","",""
N,H,Galium aparine,cleavers,,Galium aparine,doug,gran,pope,stev
N,H,Galium asprellum,rough bedstraw,,Galium asprellum,doug,"","",""
N,H,Galium boreale,northern bedstraw,,Galium boreale,doug,gran,pope,stev
N,H,Galium labradoricum,labrador bedstraw,,Galium labradoricum,doug,"",pope,""
N,H,Galium trifidum var. trifidum,three-cleft bedstraw,,Galium trifidum var. trifidum,doug,gran,pope,""
N,H,Galium triflorum var. triflorum,sweet-scented bedstraw,,Galium triflorum var. triflorum,doug,gran,pope,stev
N,H,Gentiana andrewsii,bottle gentian,,Gentiana andrewsii,doug,gran,pope,stev
N,H,Gentiana puberulenta,downy gentian,,Gentiana puberulenta,doug,"",pope,stev
N,H,Gentianopsis virgata,lesser fringed gentian,,Gentianopsis procera,"","",pope,""
N,H,Gentianopsis virgata subsp. macounii,Macoun's fringed gentian,,,"","",pope,""
N,H,Gentianopsis virgata subsp. virgata,narrow-leaved fringed gentian,,Gentianopsis procera,"","",pope,""
N,H,Geranium bicknellii,Bicknell's cranesbill,,Geranium bicknellii,doug,"","",""
N,H,Geranium maculatum,wild geranium,,Geranium maculatum,doug,"",pope,""
N,H,Geum aleppicum,yellow avens,,"Geum aleppicum, Geum aleppicum var. strictum",doug,"",pope,""
N,H,Geum canadense,white avens,,Geum canadense,doug,"",pope,""
N,H,Geum rivale,purple avens,,Geum rivale,doug,"","",""
N,H,Geum triflorum var. triflorum,prairie smoke,,,doug,"",pope,stev
N,G,Glyceria borealis,northern manna grass,,Glyceria borealis,"","",pope,""
N,G,Glyceria grandis var. grandis,tall manna grass,,Glyceria grandis,doug,gran,pope,""
N,G,Glyceria striata,fowl manna grass,,"Glyceria striata, Glyceria striata var. striata, Glyceria striata var. stricta",doug,gran,pope,""
N,H,Glycyrrhiza lepidota,wild licorice,,Glycyrrhiza lepidota,doug,gran,pope,stev
N,H,Gymnocarpium dryopteris,western oak fern,,Gymnocarpium dryopteris,doug,"","",""
N,H,Hackelia deflexa var. americana,nodding stickseed,,Hackelia deflexa var. americana,"","",pope,""
N,H,Hackelia virginiana,Virginia stickseed,,Hackelia virginiana,doug,gran,pope,""
N,H,Hedeoma hispida,mock pennyroyal,,Hedeoma hispida,"","",pope,""
N,H,Helenium autumnale,autumn sneezeweed,,Helenium autumnale var. autumnale,doug,"",pope,stev
N,H,Helianthus giganteus,giant sunflower,,Helianthus giganteus s.l.,doug,"",pope,""
N,H,Helianthus grosseserratus,sawtooth sunflower,,Helianthus grosseserratus,doug,gran,pope,""
N,H,Helianthus hirsutus,hairy sunflower,,Helianthus hirsutus,"",gran,"",""
N,H,Helianthus maximiliani,Maximilian's sunflower,,Helianthus maximilianii,doug,gran,pope,stev
N,H,Helianthus nuttallii subsp. rydbergii,Nuttall's sunflower,,Helianthus giganteus s.l.,"","",pope,""
N,H,Helianthus pauciflorus,stiff sunflower,,Helianthus pauciflorus,doug,gran,pope,stev
N,H,Helianthus pauciflorus subsp. pauciflorus,stiff sunflower,,Helianthus pauciflorus var. pauciflorus,doug,gran,pope,stev
N,H,Helianthus pauciflorus subsp. subrhomboideus,stiff sunflower,,Helianthus pauciflorus var. subrhomboideus,"",gran,pope,""
N,H,Helianthus strumosus,woodland sunflower,,Helianthus strumosus,"","",pope,""
N,H,Helianthus tuberosus,Jerusalem artichoke,,Helianthus tuberosus,"","",pope,""
N,H,Helianthus xlaetiflorus,bright sunflower,,Helianthus xlaetiflorus,"","","",stev
N,H,Heliopsis helianthoides var. scabra,ox-eye,,Heliopsis helianthoides var. scabra,doug,gran,pope,stev
N,H,Heracleum maximum,cow parsnip,,Heracleum lanatum,doug,"",pope,""
I,H,Hesperis matronalis,dame's rocket,,Hesperis matronalis,doug,gran,pope,""
N,G,Hesperostipa comata subsp. comata,needle-and-thread grass,,Stipa comata,doug,gran,pope,""
N,G,Hesperostipa spartea,porcupine grass,,Stipa spartea,doug,gran,pope,stev
N,"H,S",Heteranthera dubia,water stargrass,,Zosterella dubia,doug,"",pope,""
N,H,Heterotheca villosa,hairy golden aster,,Chrysopsis villosa,doug,gran,pope,""
N,H,Heuchera richardsonii,alumroot,,Heuchera richardsonii,doug,"",pope,stev
N,H,Hieracium longipilum,long-bearded hawkweed,,Hieracium longipilum,doug,"",pope,""
N,H,Hieracium umbellatum,rough hawkweed,,"Hieracium kalmii, Hieracium umbellatum s.s.",doug,"",pope,""
N,"H,S",Hippuris vulgaris,mare's tail,,Hippuris vulgaris,doug,"",pope,stev
N,G,Hordeum jubatum subsp. jubatum,foxtail barley,,Hordeum jubatum,doug,gran,pope,stev
N,H,Humulus lupulus,common hops,,Humulus lupulus,doug,gran,pope,""
N,H,Humulus lupulus var. lupuloides,common hops,Humulus lupuloides,Humulus lupulus var. lupuloides,doug,gran,pope,""
N,H,Hydrophyllum virginianum var. virginianum,Virginia waterleaf,,Hydrophyllum virginianum var. virginianum,doug,gran,pope,stev
N,H,Hylodesmum glutinosum,pointed-leaved tick trefoil,,Desmodium glutinosum,doug,gran,pope,""
I,H,Hypericum perforatum subsp. perforatum,common St. John's-wort,,Hypericum perforatum,"","","",stev
N,H,Hypoxis hirsuta,yellow star-grass,,Hypoxis hirsuta,doug,gran,pope,stev
N,H,Impatiens capensis,spotted touch-me-not,,Impatiens capensis,doug,gran,pope,""
I,H,Iris pseudacorus,yellow flag,,Iris pseudacorus,doug,"","",""
N,H,Iris versicolor,northern blue flag,,Iris versicolor,doug,"",pope,""
N,G,Juncus alpinoarticulatus,alpine rush,,Juncus alpinoarticulatus,doug,"",pope,""
N,G,Juncus balticus subsp. littoralis,baltic rush,,Juncus arcticus var. littoralis,doug,gran,pope,stev
N,G,Juncus dudleyi,Dudley's rush,,Juncus tenuis var. dudleyi,doug,gran,pope,stev
N,G,Juncus interior,inland rush,,Juncus tenuis var. tenuis,doug,"","",""
N,G,Juncus nodosus,knotty rush,,Juncus nodosus,doug,gran,pope,""
N,G,Juncus tenuis,path rush,,Juncus tenuis,doug,"","",""
N,G,Juncus torreyi,Torrey's rush,,Juncus torreyi,"",gran,"",stev
N,E,Juniperus communis var. depressa,bush juniper,,Juniperus communis var. depressa,doug,"",pope,""
N,E,Juniperus horizontalis,creeping juniper,,Juniperus horizontalis,"","",pope,""
N,E,Juniperus virginiana var. virginiana,eastern red cedar,,Juniperus virginiana var. virginiana,doug,"",pope,stev
N,G,Koeleria macrantha,junegrass,,Koeleria pyramidata,doug,"",pope,stev
N,H,Krigia biflora,orange dwarfdandelion,,Krigia biflora,"","",pope,""
N,H,Lactuca biennis,biennial blue lettuce,,Lactuca biennis,doug,"",pope,""
N,H,Lactuca canadensis,Canada wild lettuce,,Lactuca canadensis,doug,"",pope,""
N,H,Lactuca ludoviciana,Louisiana lettuce,,Lactuca ludoviciana,"","",pope,""
N,H,Laportea canadensis,woodnettle,,Laportea canadensis,doug,gran,pope,""
I,H,Lappula redowskii,western stickseed,,Lappula redowskii,"","","",stev
I,H,Lappula squarrosa,two-row stickseed,,Lappula squarrosa,doug,"",pope,stev
N,E,Larix laricina,tamarack,,Larix laricina,doug,"",pope,""
N,H,Lathyrus ochroleucus,cream pea,,Lathyrus ochroleucus,doug,gran,pope,""
N,H,Lathyrus palustris,marsh vetchling,,Lathyrus palustris,doug,"",pope,""
N,H,Lathyrus venosus var. intonsus,veiny pea,,Lathyrus venosus var. intonsus,doug,gran,pope,""
N,H,Lechea intermedia var. intermedia,intermediate pinweed,,Lechea intermedia,"","",pope,""
N,H,Lechea stricta,prairie pinweed,,Lechea stricta,"","",pope,""
N,G,Leersia oryzoides,rice cut grass,,Leersia oryzoides,doug,"",pope,""
N,"F,H",Lemna trisulca,star duckweed,,Lemna trisulca,doug,gran,pope,stev
N,"F,H",Lemna turionifera,turion duckweed,,Lemna minor s.l.,doug,gran,pope,stev
I,H,Leonurus cardiaca,common motherwort,,Leonurus cardiaca,doug,"",pope,stev
N,H,Lepidium densiflorum,green-flowered peppergrass,,Lepidium densiflorum,"","",pope,stev
N,H,Lespedeza capitata,round-headed bush clover,,Lespedeza capitata,"","",pope,""
I,H,Leucanthemum vulgare,ox-eye daisy,,Chrysanthemum leucanthemum,doug,"",pope,stev
N,H,Liatris aspera,rough blazing star,,Liatris aspera,doug,gran,pope,stev
N,H,Liatris cylindracea,cylindric blazing star,,Liatris cylindracea,"","",pope,""
N,H,Liatris ligulistylis,northern plains blazing star,,Liatris ligulistylis,doug,gran,pope,""
N,H,Liatris punctata var. punctata,dotted blazing star,,Liatris punctata,doug,gran,pope,stev
N,H,Liatris pycnostachya var. pycnostachya,great blazing star,,Liatris pycnostachya,doug,gran,pope,stev
N,H,Lilium michiganense,Michigan lily,,Lilium michiganense,doug,"","",""
N,H,Lilium philadelphicum,wood lily,,Lilium philadelphicum var. andinum,doug,"",pope,""
I,H,Linaria vulgaris,butter-and-eggs,,Linaria vulgaris,"","",pope,""
N,H,Linnaea borealis var. longiflora,twinflower,,Linnaea borealis var. longiflora,doug,"","",""
N,H,Linum lewisii var. lewisii,blue flax,,,"","","",stev
N,H,Linum rigidum,stiffstem flax,,Linum rigidum,"","",pope,stev
N,H,Linum rigidum var. simulans,stiffstem flax,,,"","",pope,stev
N,H,Linum sulcatum,grooved yellow flax,,Linum sulcatum,doug,gran,pope,stev
I,H,Linum usitatissimum,common flax,,Linum usitatissimum,doug,"","",""
N,H,Liparis loeselii,Loesel's twayblade,,Liparis loeselii,doug,"",pope,""
N,H,Lithospermum canescens,hoary puccoon,,Lithospermum canescens,doug,gran,pope,stev
N,H,Lithospermum incisum,narrow-leaved puccoon,,Lithospermum incisum,doug,gran,pope,stev
N,H,Lithospermum latifolium,American gromwell,,Lithospermum latifolium,"",gran,pope,""
N,H,Lobelia kalmii,Kalm's lobelia,,Lobelia kalmii,"","",pope,""
N,H,Lobelia siphilitica,great lobelia,,Lobelia siphilitica,doug,"",pope,stev
N,H,Lobelia siphilitica var. ludoviciana,great lobelia,,Lobelia siphilitica var. ludoviciana,doug,"",pope,stev
N,H,Lobelia siphilitica var. siphilitica,great lobelia,,Lobelia siphilitica var. siphilitica,"","",pope,""
N,H,Lobelia spicata,pale-spiked lobelia,,Lobelia spicata,doug,gran,pope,stev
N,H,Lomatium orientale,desert parsley,,Lomatium orientale,"","",pope,stev
N,C,Lonicera dioica,wild honeysuckle,,Lonicera dioica,doug,gran,pope,""
N,D,Lonicera hirsuta,hairy honeysuckle,,Lonicera hirsuta,doug,"","",""
I,D,Lonicera tatarica,tartarian honeysuckle,,Lonicera tatarica,doug,"","",stev
I,D,Lonicera xbella,pretty honeysuckle,,Lonicera xbella,doug,"",pope,stev
I,H,Lotus corniculatus,bird's-foot trefoil,,Lotus corniculatus,doug,"","",""
N,G,Luzula acuminata var. acuminata,pointed woodrush,,Luzula acuminata,doug,"","",""
N,H,Lycopus americanus,cut-leaved bugleweed,,Lycopus americanus,doug,gran,pope,""
N,H,Lycopus asper,rough bugleweed,,Lycopus asper,doug,gran,pope,stev
N,H,Lycopus uniflorus,northern bugleweed,,Lycopus uniflorus,doug,"",pope,""
N,H,Lygodesmia juncea,skeletonweed,,Lygodesmia juncea,doug,gran,pope,stev
N,H,Lysimachia ciliata,fringed loosestrife,,Lysimachia ciliata,doug,gran,pope,stev
N,H,Lysimachia thyrsiflora,tufted loosestrife,,Lysimachia thyrsiflora,doug,"",pope,stev
N,H,Lythrum alatum var. alatum,winged loosesrtife,,Lythrum alatum var. alatum,"","",pope,""
I,H,Lythrum salicaria,purple loosestrife,,Lythrum salicaria,"","",pope,stev
N,H,Maianthemum canadense,Canada mayflower,,"Maianthemum canadense, Maianthemum canadense var. canadense, Maianthemum canadense var. interius",doug,gran,pope,""
N,H,Maianthemum racemosum subsp. racemosum,common false Solomon's seal,,Smilacina racemosa,doug,gran,pope,""
N,H,Maianthemum stellatum,starry false Solomon's seal,,Smilacina stellata,doug,gran,pope,stev
N,H,Maianthemum trifolium,three-leaved false Solomon's seal,,Smilacina trifolia,doug,"",pope,""
I,H,Malva neglecta,common mallow,,Malva neglecta,"",gran,"",""
I,H,Matricaria discoidea,pineapple weed,,Matricaria matricarioides,doug,gran,"",""
N,H,Matteuccia struthiopteris var. pensylvanica,ostrich fern,,Matteuccia struthiopteris,doug,"",pope,""
I,H,Medicago lupulina,black medick,,Medicago lupulina,doug,gran,pope,stev
I,H,Medicago sativa,alfalfa,,Medicago sativa,doug,gran,pope,""
I,H,Melilotus albus,white sweet clover,,Melilotus albus,doug,gran,pope,stev
I,H,Melilotus officinalis,yellow sweet clover,,Melilotus officinalis,doug,gran,pope,stev
N,C,Menispermum canadense,Canada moonseed,,Menispermum canadense,"",gran,pope,""
N,H,Mentha arvensis var. canadensis,common mint,,Mentha arvensis var. canadensis,doug,gran,pope,stev
N,H,Menyanthes trifoliata,buckbean,,Menyanthes trifoliata,doug,"",pope,""
N,H,Micranthes pensylvanica,swamp saxifrage,,Saxifraga pensylvanica,"","",pope,""
N,H,Mimulus ringens var. ringens,blue monkey flower,,Mimulus ringens var. ringens,doug,"",pope,""
N,H,Mirabilis albida,hairy four o'clock,,Mirabilis hirsuta,doug,"",pope,stev
N,H,Mirabilis nyctaginea,heart-leaved four o'clock,,Mirabilis nyctaginea,doug,gran,pope,stev
N,H,Mitella diphylla,two-leaved miterwort,,Mitella diphylla,doug,"","",""
N,H,Mitella nuda,naked miterwort,,Mitella nuda,doug,"","",""
N,H,Moehringia lateriflora,side-flowering sandwort,,Arenaria lateriflora,doug,gran,pope,stev
N,H,Monarda fistulosa,wild bergamot,,Monarda fistulosa,doug,gran,pope,stev
N,H,Moneses uniflora,one-flowered pyrola,,Moneses uniflora,doug,"","",""
N,H,Monotropa uniflora,Indian pipe,,Monotropa uniflora,"","",pope,""
N,G,Muhlenbergia asperifolia,scratchgrass,,Muhlenbergia asperifolia,"",gran,"",""
N,G,Muhlenbergia cuspidata,Plains muhly,,Muhlenbergia cuspidata,doug,gran,pope,stev
N,G,Muhlenbergia frondosa,swamp muhly grass,,Muhlenbergia frondosa,"","",pope,""
N,G,Muhlenbergia glomerata,clustered muhly grass,,Muhlenbergia glomerata,doug,"",pope,stev
N,G,Muhlenbergia mexicana,Mexican muhly grass,,Muhlenbergia mexicana,doug,"",pope,""
N,G,Muhlenbergia racemosa,marsh muhly grass,,Muhlenbergia racemosa,doug,gran,pope,""
N,G,Muhlenbergia richardsonis,mat muhly grass,,Muhlenbergia richardsonis,doug,gran,pope,""
N,H,Mulgedium pulchellum,beautiful blue lettuce,,Lactuca pulchella,doug,gran,pope,stev
I,H,Myosotis arvensis,field forget-me-not,,Myosotis arvensis,"","",pope,""
N,"H,S",Myriophyllum sibiricum,northern water milfoil,,Myriophyllum sibiricum,doug,gran,pope,stev
N,"H,S",Myriophyllum verticillatum,whorled water milfoil,,Myriophyllum verticillatum,doug,"",pope,""
N,"H,S",Najas flexilis,flexuous naiad,,Najas flexilis,doug,"",pope,""
N,"H,S",Najas guadalupensis,southern naiad,Najas guadalupensis s.s.,Najas guadalupensis s.l.,doug,"","",""
N,"H,S",Najas guadalupensis subsp. guadalupensis,guadalupian southern naid,Najas guadalupensis subsp. guadalupensis,Najas guadalupensis var. guadalupensis,doug,"","",""
N,"H,S",Najas guadalupensis subsp. olivacea,olive-colored southern naiad,Najas olivacea,Najas guadalupensis var. olivacea,doug,"","",""
N,"H,S",Najas marina,sea naiad,,Najas marina,doug,gran,pope,""
N,G,Nassella viridula,green needle grass,,Stipa viridula,doug,"",pope,stev
I,H,Nepeta cataria,catnip,,Nepeta cataria,doug,gran,pope,stev
N,H,Nothocalais cuspidata,prairie false dandelion,,Microseris cuspidata,doug,"",pope,""
N,"F,H",Nuphar variegata,bullhead pond-lily,,Nuphar variegata,doug,"",pope,""
N,"F,H",Nymphaea odorata,American white waterlily,,Nymphaea odorata s.l.,"","",pope,""
N,H,Oenothera biennis,common evening primrose,,"Oenothera biennis s.s., Oenothera biennis var. biennis",doug,"",pope,""
N,H,Oenothera parviflora,northern evening primrose,,"Oenothera parviflora s.l., Oenothera parviflora var. parviflora","","",pope,""
N,H,Oenothera serrulata,toothed evening primrose,,Calylophus serrulatus,doug,gran,pope,stev
N,H,Oenothera suffrutescens,scarlet gaura,,Gaura coccinea,doug,gran,pope,stev
N,H,Oenothera villosa,hairy evening-primrose,,,doug,"",pope,""
N,H,Oenothera villosa subsp. villosa,hairy evening-primrose,,Oenothera biennis var. canescens,doug,"",pope,""
N,H,Onoclea sensibilis,sensitive fern,,Onoclea sensibilis,doug,"",pope,""
N,H,Onosmodium molle,false gromwell,,Onosmodium molle,"","",pope,""
N,H,Onosmodium molle var. occidentale,false gromwell,,Onosmodium molle var. occidentale,"","",pope,""
N,H,Orobanche ludoviciana,Louisiana broomrape,,"Orobanche ludoviciana, Orobanche ludoviciana var. ludoviciana",doug,"","",""
N,H,Orthilia secunda,one-sided pyrola,,Pyrola secunda,doug,"","",""
N,G,Oryzopsis asperifolia,mountain ricegrass,,Oryzopsis asperifolia,doug,gran,pope,""
N,H,Osmorhiza claytonii,Clayton's sweet cicely,,Osmorhiza claytonii,doug,gran,pope,""
N,H,Osmorhiza longistylis,aniseroot,,Osmorhiza longistylis,doug,"",pope,""
N,H,Osmundastrum cinnamomeum,cinnamon fern,,Osmunda cinnamomea,doug,"","",""
N,D,Ostrya virginiana,ironwood,,Ostrya virginiana,doug,gran,pope,""
N,H,Oxalis dillenii,southern wood-sorrel,,Oxalis dillenii,doug,"",pope,""
N,H,Oxalis stricta,yellow wood-sorrel,,Oxalis stricta,doug,gran,pope,stev
N,H,Oxalis violacea,violet wood-sorrel,,Oxalis violacea,doug,gran,pope,stev
N,H,Oxytropis lambertii var. lambertii,Lambert's locoweed,,Oxytropis lambertii var. lambertii,doug,gran,pope,stev
N,H,Packera aurea,golden ragwort,,Senecio aureus,"","",pope,""
N,H,Packera paupercula,balsam ragwort,,Senecio pauperculus,doug,"",pope,""
N,H,Packera plattensis,prairie ragwort,,Senecio plattensis,doug,"",pope,stev
N,H,Packera pseudaurea var. semicordata,western heart-leaved groundsel,,"Senecio pseudaureus, Senecio pseudaureus var. semicordatus",doug,gran,pope,stev
N,H,Panax quinquefolius,American ginseng,,Panax quinquefolius,doug,gran,pope,""
N,G,Panicum capillare subsp. capillare,witch grass,,Panicum capillare,doug,gran,pope,""
N,G,Panicum virgatum,switchgrass,,Panicum virgatum,doug,gran,pope,stev
N,H,Parietaria pensylvanica,pellitory,,Parietaria pensylvanica,"","",pope,""
N,H,Parnassia glauca,American grass-of-parnassus,,Parnassia glauca,doug,"",pope,""
N,H,Parnassia palustris,marsh grass-of-parnassus,,Parnassia palustris,"","",pope,""
N,C,Parthenocissus vitacea,woodbine,,Parthenocissus vitacea,doug,gran,pope,stev
N,G,Pascopyrum smithii,western wheatgrass,,Elytrigia smithii,"","",pope,""
I,H,Pastinaca sativa,wild parsnip,,Pastinaca sativa,doug,gran,"",""
N,H,Pedicularis canadensis,wood betony,,Pedicularis canadensis,doug,gran,pope,stev
N,H,Pedicularis lanceolata,swamp lousewort,,Pedicularis lanceolata,doug,gran,pope,stev
N,H,Pediomelum argophyllum,silverleaf scurfpea,,Pediomelum argophyllum,doug,gran,pope,stev
N,H,Pediomelum esculentum,prairie turnip,,Pediomelum esculentum,doug,gran,pope,stev
N,H,Penstemon albidus,white beard tongue,,Penstemon albidus,doug,"",pope,""
N,H,Penstemon gracilis,slender beard tongue,,Penstemon gracilis,doug,"",pope,""
