"genus_id","genus","family_id","family"
"570","Delphinium","7","Ranunculaceae"
"1116","Dendrolycopodium","94","Lycopodiaceae"
"794","Dennstaedtia","122","Dennstaedtiaceae"
"316","Dentaria","18","Brassicaceae"
"795","Deparia","32","Dryopteridaceae"
"108","Deschampsia","14","Poaceae"
"796","Descurainia","18","Brassicaceae"
"317","Desmanthus","21","Fabaceae"
"293","Desmodium","21","Fabaceae"
"797","Deutzia","108","Hydrangeaceae"
"531","Dianthus","26","Caryophyllaceae"
"466","Diarrhena","14","Poaceae"
"604","Dicentra","57","Fumariaceae"
"103","Dichanthelium","14","Poaceae"
