"genus_id","genus","family_id","family"
"1016","Salicornia","49","Chenopodiaceae"
"67","Salix","119","Salicaceae"
"233","Salsola","49","Chenopodiaceae"
"1017","Salvia","12","Lamiaceae"
"58","Sambucus","62","Caprifoliaceae"
"1018","Samolus","66","Primulaceae"
"446","Sanguinaria","127","Papaveraceae"
"567","Sanguisorba","13","Rosaceae"
"20","Sanicula","9","Apiaceae"
"1019","Sanvitalia","5","Asteraceae"
"565","Saponaria","26","Caryophyllaceae"
"247","Sarracenia","128","Sarraceniaceae"
"286","Sassafras","90","Lauraceae"
"192","Satureja","12","Lamiaceae"
"609","Saururus","129","Saururaceae"
"246","Saxifraga","80","Saxifragaceae"
"1111","Sceptridium","37","Ophioglossaceae"
"1020","Schedonnardus","14","Poaceae"
"260","Schedonorus","14","Poaceae"
"1021","Scheuchzeria","171","Scheuchzeriaceae"
"1022","Schizachne","14","Poaceae"
"343","Schizachyrium","14","Poaceae"
"1023","Schoenoplectiella","36","Cyperaceae"
"521","Schoenoplectus","36","Cyperaceae"
"1024","Scilla","16","Liliaceae"
"60","Scirpus","36","Cyperaceae"
"1025","Scleranthus","26","Caryophyllaceae"
"224","Scleria","36","Cyperaceae"
"1026","Sclerochloa","14","Poaceae"
"1139","Scorpidium","187","Amblystegiaceae"
"170","Scrophularia","11","Scrophulariaceae"
"24","Scutellaria","12","Lamiaceae"
"1027","Secale","14","Poaceae"
"426","Securigera","21","Fabaceae"
"206","Sedum","107","Crassulaceae"
"427","Selaginella","130","Selaginellaceae"
"207","Senecio","5","Asteraceae"
"453","Senna","21","Fabaceae"
"1028","Sesbania","21","Fabaceae"
"61","Setaria","14","Poaceae"
"454","Seymeria","11","Scrophulariaceae"
"455","Shepherdia","69","Elaeagnaceae"
"1029","Sherardia","47","Rubiaceae"
"1030","Sibara","18","Brassicaceae"
"1031","Sibbaldiopsis","13","Rosaceae"
"1032","Sicyos","68","Cucurbitaceae"
"1033","Sida","2","Malvaceae"
"1034","Sideroxylon","170","Sapotaceae"
"1035","Sigesbeckia","5","Asteraceae"
"32","Silene","26","Caryophyllaceae"
"348","Silphium","5","Asteraceae"
"1036","Sinapis","18","Brassicaceae"
"1037","Sisymbrium","18","Brassicaceae"
"171","Sisyrinchium","58","Iridaceae"
"484","Sium","9","Apiaceae"
"1038","Smallanthus","5","Asteraceae"
"265","Smilacina","131","Smilacaceae"
"266","Smilax","131","Smilacaceae"
"349","Solanum","110","Solanaceae"
"214","Solidago","5","Asteraceae"
"236","Sonchus","5","Asteraceae"
"625","Sorbus","13","Rosaceae"
"358","Sorghastrum","14","Poaceae"
"1039","Sorghum","14","Poaceae"
"81","Sparganium","132","Sparganiaceae"
"359","Spartina","14","Poaceae"
"568","Specularia","41","Campanulaceae"
"1040","Spergula","26","Caryophyllaceae"
"1041","Spergularia","26","Caryophyllaceae"
"1042","Spermacoce","47","Rubiaceae"
"1043","Spermolepis","9","Apiaceae"
"268","Sphaeralcea","2","Malvaceae"
"215","Sphagnum","133","Sphagnaceae"
"217","Sphenopholis","14","Poaceae"
"1044","Spigelia","159","Loganiaceae"
"28","Spiraea","13","Rosaceae"
"4","Spiranthes","23","Orchidaceae"
"269","Spirodela","89","Lemnaceae"
"270","Sporobolus","14","Poaceae"
"213","Stachys","12","Lamiaceae"
"281","Staphylea","134","Staphyleaceae"
"1045","Steinchisma","14","Poaceae"
"457","Stellaria","26","Caryophyllaceae"
"1046","Stenanthium","16","Liliaceae"
"1047","Stenaria","47","Rubiaceae"
"271","Stipa","14","Poaceae"
"409","Stonecrop","107","Crassulaceae"
"510","Strophostyles","21","Fabaceae"
"1048","Stuckenia","120","Potamogetonaceae"
"1049","Stylisma","40","Convolvulaceae"
"272","Stylophorum","127","Papaveraceae"
"1050","Stylosanthes","21","Fabaceae"
"637","Styrax","173","Styracaceae"
"1051","Suaeda","49","Chenopodiaceae"
"1052","Sullivantia","80","Saxifragaceae"
"188","Swertia","33","Gentianaceae"
"57","Symphoricarpos","62","Caprifoliaceae"
"9","Symphyotrichum","5","Asteraceae"
"1053","Symphytum","60","Boraginaceae"
"615","Symplocarpus","27","Araceae"
"636","Synandra","12","Lamiaceae"
"1141","Synthyris","112","Plantaginaceae"
"1054","Syringa","75","Oleaceae"
"407","Taenidia","9","Apiaceae"
"1055","Tagetes","5","Asteraceae"
"574","Talinum","51","Portulacaceae"
"1056","Tamarix","174","Tamaricaceae"
"1057","Tanacetum","5","Asteraceae"
"370","Taraxacum","5","Asteraceae"
"1058","Taxodium","87","Cupressaceae"
"1059","Taxus","175","Taxaceae"
"350","Tephrosia","21","Fabaceae"
"463","Tetraneuris","5","Asteraceae"
"352","Teucrium","12","Lamiaceae"
"1060","Thalia","160","Marantaceae"
"34","Thalictrum","7","Ranunculaceae"
"353","Thaspium","9","Apiaceae"
"1061","Thelesperma","5","Asteraceae"
"227","Thelypteris","135","Thelypteridaceae"
"1062","Thinopyrum","14","Poaceae"
"1063","Thismia","147","Burmanniaceae"
"1064","Thladiantha","68","Cucurbitaceae"
"633","Thlaspi","18","Brassicaceae"
"415","Thuja","87","Cupressaceae"
"579","Thymelaea","65","Thymelaeaceae"
"1065","Thymus","12","Lamiaceae"
"1066","Tidestromia","20","Amaranthaceae"
"287","Tilia","136","Tiliaceae"
"1067","Tipularia","23","Orchidaceae"
"308","Tofieldia","16","Liliaceae"
"592","Tomanthera","11","Scrophulariaceae"
"580","Torilis","9","Apiaceae"
"1068","Torreyochloa","14","Poaceae"
"36","Tortella","181","Pottiaceae"
"405","Tovara","116","Polygonaceae"
"102","Toxicodendron","124","Anacardiaceae"
"1137","Tracaulon","116","Polygonaceae"
"1069","Trachelospermum","24","Apocynaceae"
"396","Tradescantia","53","Commelinaceae"
"647","Tragia","3","Euphorbiaceae"
"456","Tragopogon","5","Asteraceae"
"1070","Trautvetteria","7","Ranunculaceae"
"1147","Trepocarpus","9","Apiaceae"
"397","Triadenum","185","Hypericaceae"
"632","Triantha","16","Liliaceae"
"1071","Tribulus","178","Zygophyllaceae"
"1072","Trichomanes","156","Hymenophyllaceae"
"583","Trichophorum","36","Cyperaceae"
"576","Trichostema","12","Lamiaceae"
"1073","Tridens","14","Poaceae"
"464","Trientalis","66","Primulaceae"
"82","Trifolium","21","Fabaceae"
"465","Triglochin","137","Juncaginaceae"
"221","Trillium","16","Liliaceae"
"1074","Triodanis","41","Campanulaceae"
"273","Triosteum","62","Caprifoliaceae"
"638","Triphora","23","Orchidaceae"
"298","Triplasis","14","Poaceae"
"1075","Tripleurospermum","5","Asteraceae"
"1076","Tripsacum","14","Poaceae"
"1077","Triticum","14","Poaceae"
"624","Turritis","18","Brassicaceae"
"1078","Tussilago","5","Asteraceae"
"216","Typha","138","Typhaceae"
"105","Ulmus","46","Ulmaceae"
"1079","Urochloa","14","Poaceae"
"471","Urtica","35","Urticaceae"
"83","Utricularia","139","Lentibulariaceae"
"274","Uvularia","16","Liliaceae"
"1080","Vaccaria","26","Caryophyllaceae"
"198","Vaccinium","22","Ericaceae"
"15","Valeriana","140","Valerianaceae"
"591","Valerianella","140","Valerianaceae"
"275","Vallisneria","71","Hydrocharitaceae"
"646","Vandenboschia","156","Hymenophyllaceae"
"1081","Veratrum","16","Liliaceae"
"259","Verbascum","11","Scrophulariaceae"
"354","Verbena","92","Verbenaceae"
"424","Verbesina","5","Asteraceae"
"375","Vernonia","5","Asteraceae"
"414","Veronica","11","Scrophulariaceae"
"441","Veronicastrum","11","Scrophulariaceae"
"128","Viburnum","62","Caprifoliaceae"
"107","Vicia","21","Fabaceae"
"1082","Vigna","21","Fabaceae"
"39","Vinca","24","Apocynaceae"
"127","Vincetoxicum","24","Apocynaceae"
"309","Viola","81","Violaceae"
"40","Vitis","106","Vitaceae"
"1083","Vulpia","14","Poaceae"
"1084","Waldsteinia","13","Rosaceae"
"1085","Wisteria","21","Fabaceae"
"21","Wolffia","89","Lemnaceae"
"1086","Wolffiella","89","Lemnaceae"
"519","Woodsia","32","Dryopteridaceae"
"1087","Woodwardia","145","Blechnaceae"
"77","Xanthium","5","Asteraceae"
"448","Xyris","141","Xyridaceae"
"520","Yucca","142","Agavaceae"
"1089","Zannichellia","177","Zannichelliaceae"
"104","Zanthoxylum","121","Rutaceae"
"1090","Zea","14","Poaceae"
"584","Zigadenus","16","Liliaceae"
"581","Zizania","14","Poaceae"
"1091","Zizaniopsis","14","Poaceae"
"186","Zizia","9","Apiaceae"
"1092","Zoysia","14","Poaceae"
"1088","x Elyhordeum","14","Poaceae"
